unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
b-59-850,1,PrototypicalNetwork,5,Greek,-119.82432,0.5756499989032745,22.705633,0.97289944,0.7174912481000916,OOD,0.0488385371101761,0,292872.3182272911
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,Greek,22.910416,0.651849999666214,165.44037,1.1108125,0.8075342857072263,OOD,0.053324033513145803,0,2362896.3259658813
Egyptian,1,PrototypicalNetwork,5,Greek,-119.29023,0.5132999974489212,23.239723,0.98885304,0.7211234236324572,OOD,0.047964673015194255,0,312213.0588171482
TKH,1,PrototypicalNetwork,5,Greek,-105.473785,0.5804999980926514,37.05617,1.047271,0.7564479139413511,OOD,0.05108571268030444,0,522572.29908680916
Greek,1,PrototypicalNetwork,5,Greek,0.0,0.599299999833107,142.52995,0.7472211,0.5553488981962253,ID,0.056075931752902104,0,1530557.0614229962
cifar100_SOTA_testSet,1,PrototypicalNetwork,5,Greek,-101.71478,0.3000499985218048,40.815166,0.94557756,0.6857577594134942,OOD,0.044798130293530594,0,542319.2544183731
Greek,1,PrototypicalNetwork,5,Greek,0.28726196,0.6012500007152557,142.81721,0.744441,0.5535734555271755,OOD,0.052835238646000614,0,1527600.149228096
miniImageNet_SOTA_testSet,1,PrototypicalNetwork,5,Greek,-80.95335,0.27314999848604204,61.576607,0.9434948,0.6840658960328602,OOD,0.04491327777976658,0,815589.142677784
b-59-850,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,-38.639984,0.8653000006675721,114.06741,0.92621,0.69908135434601,OOD,0.04087676502337034,0,1302206.978925705
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,251.20932,0.8916999990940094,403.91672,0.99030584,0.7467044874351368,OOD,0.03946340072626489,0,4828337.231903076
Egyptian,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,-51.865936,0.7886500005722046,100.84146,0.9068703,0.685866665180934,OOD,0.04429223917347711,0,1138173.4809980392
TKH,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,-20.859894,0.8305000009536743,131.8475,1.0364307,0.7644249155216069,OOD,0.04360045763593953,0,1726518.1639499664
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,0.0,0.400349999666214,152.7074,0.9732997,0.7007465028185108,ID,0.05025437818793316,0,2066194.340461731
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,0.12464905,0.40260000002384183,152.83205,0.9759266,0.7030011497799257,OOD,0.05510889199781045,0,2066029.4503707886
Greek,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,280.46603,0.7616499993801117,433.17343,0.72616225,0.5526270688092728,OOD,0.044101049796142114,0,4033943.8302955627
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,cifar100_SOTA_testSet,55.334167,0.383099999666214,208.04156,0.9846031,0.7074179655516153,OOD,0.05519864082369233,0,2835151.5774326324
b-59-850,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-83.20863,0.8542000005245208,89.47475,0.89963037,0.6791680190765369,OOD,0.04258650194817815,0,1001798.6518864632
omniglot_SOTA_testSet,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,128.57547,0.8919499998092651,301.25885,0.97925246,0.739702243534868,OOD,0.038949615783048605,0,3557452.230205536
Egyptian,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-104.73765,0.7673999991416931,67.94573,0.93700683,0.6977859962146151,OOD,0.04643264010181033,0,822118.3579721451
TKH,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-69.61871,0.8325499987602234,103.06467,1.0294224,0.7604505012501147,OOD,0.0450818432568876,0,1340115.4994859695
miniImageNet_SOTA_trainSet,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,0.0,0.3811499999761581,172.68338,0.98371094,0.7032856282658265,ID,0.05106664759622524,0,2381980.5005073547
cifar100_SOTA_testSet,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,-44.09604,0.41060000026226046,128.58734,0.95943457,0.6952858574682705,OOD,0.05546521367202113,0,1701237.8207111359
Greek,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,157.94067,0.7616000010967254,330.62405,0.7406537,0.5616264321728482,OOD,0.04690884965568813,0,3159909.108860016
miniImageNet_SOTA_testSet,5,PrototypicalNetwork,5,miniImageNet_SOTA_testSet,0.42518616,0.38120000034570695,173.10857,0.98473203,0.7046597821805258,OOD,0.05339999990126237,0,2383049.3424072266
b-59-850,1,PrototypicalNetwork,5,b-59-850,-0.5502014,0.5751500000953674,197.74928,0.95844895,0.7084128423731026,OOD,0.05055296777867418,0,2491158.9661512375
omniglot_SOTA_testSet,1,PrototypicalNetwork,5,b-59-850,480.4334,0.6644499971866608,678.7329,1.0555087,0.7756106561013927,OOD,0.052564937791439365,0,9136904.14591217
