unseen_ds,spc,model,nway,trained_ds,mean_diff,acc,dis_mean,norm_ratio_sum,norm_ratio_limits,domain,acc_std,bt_iter,sum_min_values
b-59-850,1,RelationNetwork,5,cifar100_SOTA_testSet,0.062420964,0.36025,0.3891816,1.000959,0.7344469153498508,OOD,0.04880381644912619,0,5188.920330334455
omniglot_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.31361908,0.38395000000000007,0.01314157,0.4823993,0.38865568938446793,OOD,0.05046555756156866,0,65.07588783747633
Egyptian,1,RelationNetwork,5,cifar100_SOTA_testSet,0.02570334,0.398,0.352464,0.99832726,0.7302291038416558,OOD,0.05044551516240071,0,4725.937957316637
TKH,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.019630164,0.38539999999999996,0.3071305,0.91954935,0.6845388603471171,OOD,0.04300395330664379,0,3768.4850682383403
cifar100_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0,0.22010000000000002,0.32676065,0.9480779,0.705971740287468,ID,0.03858095385031324,0,4084.4389728996903
Greek,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.20389101,0.41164999999999996,0.12286964,0.53973925,0.45492172772208517,OOD,0.04538614876809884,0,617.5839720996955
miniImageNet_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.05298075,0.22410000000000002,0.2737799,0.8524993,0.6497927923270912,OOD,0.036406592809544815,0,3012.3922845663037
omniglot_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.36561233,0.36010000000000003,0.013657,0.809236,0.60980762735879,OOD,0.04543390804234212,2,143.8703139491845
cifar100_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0,0.22069999999999998,0.37926933,0.9023042,0.6767259721602519,ID,0.03534133557182015,2,4488.05455798097
Greek,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.2289346,0.40975,0.15033473,0.6503657,0.5293526193379132,OOD,0.051349902628924235,2,928.4969639188057
Egyptian,1,RelationNetwork,5,cifar100_SOTA_testSet,0.27464405,0.35625,0.6539134,1.2058532,0.8602500279519031,OOD,0.043778562105213095,2,10276.836822792888
TKH,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0123541355,0.38595000000000007,0.39162347,0.9193949,0.6856479600153758,OOD,0.04328074052046707,2,4761.055800685659
miniImageNet_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.08018434,0.2301,0.299085,0.8247783,0.623092201610642,OOD,0.037151581392990525,2,3188.561754334718
b-59-850,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.110284925,0.36415,0.2689844,0.8455884,0.6311779642755784,OOD,0.046948402528733606,2,3008.06887277402
b-59-850,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0075172186,0.3278,0.32551193,0.8825492,0.6607010994049236,OOD,0.04387094710625701,1,3850.2733827577904
cifar100_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0,0.22269999999999998,0.3179947,0.841019,0.6286883670464682,ID,0.03820615133718653,1,3681.496910466347
miniImageNet_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.050826043,0.22144999999999998,0.26716867,0.7872594,0.5962750331986868,OOD,0.03444956458360541,1,2882.032749948092
TKH,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.03531629,0.3092,0.28267843,0.8727209,0.6521165269451551,OOD,0.04123542166632954,1,3356.4893333828077
omniglot_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.2638475,0.3413,0.054147206,0.6443836,0.5062890448428479,OOD,0.04599521714265517,1,434.8451478436473
Greek,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.07857661,0.35695,0.2394181,0.6515475,0.5341727018095802,OOD,0.0432125271188807,1,1803.1046342123373
Egyptian,1,RelationNetwork,5,cifar100_SOTA_testSet,0.13745004,0.26605,0.45544475,0.93270713,0.7034277062886524,OOD,0.04022465040245844,1,5480.137586757541
Egyptian,1,RelationNetwork,5,cifar100_SOTA_testSet,0.01481545,0.29869999999999997,0.38377494,1.0611024,0.7620725657285767,OOD,0.040630161210608064,4,5608.029680971056
cifar100_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0,0.21994999999999998,0.3689595,0.9766835,0.7188697613105116,ID,0.03655642898314878,4,4859.30403435044
TKH,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.023572803,0.36160000000000003,0.34538668,0.9663692,0.7152618547930266,OOD,0.04785854155738556,4,4434.45801304467
omniglot_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.23954529,0.38365000000000005,0.1294142,0.6626207,0.5222676390003133,OOD,0.0520173288433768,4,1069.1345107620582
b-59-850,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.070857495,0.31565,0.298102,0.94190276,0.6939439406155542,OOD,0.04259639069217015,4,3823.2409796398133
miniImageNet_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.012866437,0.24015,0.38182592,0.9417723,0.6977927614180349,OOD,0.03600142358296405,4,4863.63439922221
Greek,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.15422337,0.44255000000000005,0.21473612,0.71458733,0.5701404429795339,OOD,0.04964999999999999,4,1843.3634477739106
omniglot_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.34828562,0.34545000000000003,0.001792758,0.41139942,0.34108868557655997,OOD,0.04654215830835524,3,6.848430698755919
TKH,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.10512668,0.30879999999999996,0.2449517,0.74870574,0.5853602172919181,OOD,0.04417363467046831,3,2281.844918183051
cifar100_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,0.0,0.22705,0.35007837,0.89743966,0.6836546411412785,ID,0.035674535736292354,3,3968.729421166703
Egyptian,1,RelationNetwork,5,cifar100_SOTA_testSet,0.041434705,0.32989999999999997,0.39151308,0.9252326,0.7050238103470604,OOD,0.03804260769190251,3,4493.334839330055
Greek,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.23907262,0.38865000000000005,0.111005746,0.43734655,0.3859554557369257,OOD,0.04503390389473247,3,377.0396494465349
b-59-850,1,RelationNetwork,5,cifar100_SOTA_testSet,0.06258902,0.3014,0.4126674,0.97344667,0.7388065595760283,OOD,0.04696317706458966,3,4928.272127505392
miniImageNet_SOTA_testSet,1,RelationNetwork,5,cifar100_SOTA_testSet,-0.09550172,0.22529999999999997,0.25457665,0.6933476,0.556707506015647,OOD,0.03663891373935641,3,2043.9643940713722
