_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.24412481,0.0,1738575926.5538526,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
1,343.273547149,0.0,1738576262.5406485,0.7125499985218048,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
2,343.273602152,0.0,1738576262.5737267,,8.314832484757062e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
3,343.436587925,0.0,1738576262.746245,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
4,343.478217728,0.0,1738576262.787955,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
5,343.515428431,0.0,1738576262.8251183,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
6,343.547419435,0.0,1738576262.8571968,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
7,343.585278908,0.0,1738576262.8949766,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
8,343.637140242,0.0,1738576262.9467914,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
9,343.682347438,0.0,1738576262.9919896,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
10,343.723797626,0.0,1738576263.033562,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
11,343.756011734,0.0,1738576263.0657685,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
12,343.779683726,0.0,1738576263.0894678,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
13,343.818805932,0.0,1738576263.128563,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
14,343.862732259,0.0,1738576263.1723516,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
15,343.902486372,0.0,1738576263.2121701,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
16,343.955299437,0.0,1738576263.2649636,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
17,343.993104511,0.0,1738576263.302804,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
18,344.032219993,0.0,1738576263.3418987,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
19,344.074805467,0.0,1738576263.3845248,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
20,344.100592496,0.0,1738576263.4103498,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
21,344.120133445,0.0,1738576263.4299133,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
22,344.155641077,0.0,1738576263.4653702,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
23,344.18096303,0.0,1738576263.490697,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
24,344.225094024,0.0,1738576263.5347614,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
25,344.262881113,0.0,1738576263.5726266,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
26,344.290034915,0.0,1738576263.5997946,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
27,344.314344149,0.0,1738576263.6240594,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
28,344.346879734,0.0,1738576263.6565437,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
29,344.396204762,0.0,1738576263.705914,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
30,344.431763508,0.0,1738576263.7414188,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
31,344.477503447,0.0,1738576263.787122,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
32,344.518368873,0.0,1738576263.8280864,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
33,344.560610412,0.0,1738576263.8702803,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
34,344.594216633,0.0,1738576263.9038932,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
35,344.625928254,0.0,1738576263.935712,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
36,344.654653891,0.0,1738576263.9643435,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
37,344.694610489,0.0,1738576264.004347,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
38,344.732095348,0.0,1738576264.041816,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
39,344.753626843,0.0,1738576264.0633833,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
40,344.773025207,0.0,1738576264.0828183,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
41,344.792598806,0.0,1738576264.1023943,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
42,344.814215709,0.0,1738576264.123986,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
43,344.855763307,0.0,1738576264.1654978,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
44,344.899527719,0.0,1738576264.2091901,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
45,344.942004359,0.0,1738576264.2516372,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
46,344.985919327,0.0,1738576264.2955778,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
47,345.035484081,0.0,1738576264.3451395,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,1,4000,2,exp1_permuted_src_datasets
