_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,48.823685793,0.0,1738550587.0297747,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
1,72.229339202,0.0,1738550610.4355142,0.86725,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
2,72.260710357,0.0,1738550610.4667459,,0.5965653657913208,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
3,72.398956289,0.0,1738550610.604975,,0.6552485823631287,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
4,72.446635056,0.0,1738550610.65263,,0.5671578645706177,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
5,72.502316007,0.0,1738550610.7083013,,0.6575829386711121,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
6,72.552678056,0.0,1738550610.7586818,,0.5670258402824402,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
7,72.607870902,0.0,1738550610.8138652,,0.5691208243370056,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
8,72.653274662,0.0,1738550610.8593123,,0.6038166284561157,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
9,72.709482384,0.0,1738550610.9154985,,0.4805612862110138,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
10,72.759149105,0.0,1738550610.965132,,0.42613843083381653,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
11,72.803729569,0.0,1738550611.0097704,,0.4999924898147583,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
12,72.859186685,0.0,1738550611.0651963,,0.49095627665519714,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
13,72.903714726,0.0,1738550611.1097326,,0.49131083488464355,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
14,72.95448379,0.0,1738550611.1604915,,0.497356653213501,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
15,73.006784035,0.0,1738550611.2128305,,0.4556209444999695,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
16,73.053433687,0.0,1738550611.2594607,,0.45011889934539795,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
17,73.097383233,0.0,1738550611.3034024,,0.3590424060821533,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
18,73.143542102,0.0,1738550611.3495617,,0.4993186891078949,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
19,73.192485971,0.0,1738550611.3984869,,0.45658576488494873,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
20,73.245858942,0.0,1738550611.4519038,,0.445158988237381,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
21,73.29374861,0.0,1738550611.4997633,,0.38770538568496704,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
22,73.33988934999999,0.0,1738550611.5459158,,0.4260694086551666,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
23,73.38440431,0.0,1738550611.5904253,,0.4051125943660736,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
24,73.445374959,0.0,1738550611.6514258,,0.4221985638141632,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
25,73.499825927,0.0,1738550611.7058284,,0.4368821680545807,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
26,73.545044909,0.0,1738550611.7510805,,0.3598434329032898,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
27,73.594367293,0.0,1738550611.800394,,0.3805878162384033,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
28,73.648974427,0.0,1738550611.8549478,,0.3199579417705536,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
29,73.701727027,0.0,1738550611.9077632,,0.4198761582374573,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
30,73.753341273,0.0,1738550611.9593582,,0.4386478364467621,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
31,73.800450603,0.0,1738550612.0064735,,0.39212876558303833,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
32,73.854632406,0.0,1738550612.0606668,,0.35845300555229187,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
33,73.906807081,0.0,1738550612.1128075,,0.428107887506485,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
34,73.969611265,0.0,1738550612.175634,,0.3948851525783539,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
35,74.016972034,0.0,1738550612.2230175,,0.32746484875679016,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
36,74.061495975,0.0,1738550612.2675526,,0.39892664551734924,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
37,74.123635587,0.0,1738550612.3296463,,0.32112446427345276,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
38,74.183722202,0.0,1738550612.3897035,,0.3371700048446655,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
39,74.245705559,0.0,1738550612.4517205,,0.3015814423561096,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
40,74.303228007,0.0,1738550612.509255,,0.3800118565559387,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
