_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.111200332641602,0.0,1735684232.8299124,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
1,10.620335817337036,0.0,1735684236.339048,0.51725,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
2,10.628183364868164,0.0,1735684236.3468955,,1.3820751905441284,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
3,10.638961791992188,0.0,1735684236.357674,,1.3848109245300293,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
4,10.655918836593628,0.0,1735684236.374631,,1.4195665121078491,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
5,10.665730476379395,0.0,1735684236.3844426,,1.3877397775650024,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
6,10.68104600906372,0.0,1735684236.399758,,1.3942135572433472,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
7,10.699312210083008,0.0,1735684236.4180243,,1.3919087648391724,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
8,10.71186375617981,0.0,1735684236.4305758,,1.3785532712936401,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
9,10.722048282623291,0.0,1735684236.4407604,,1.3759692907333374,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
10,10.74214482307434,0.0,1735684236.460857,,1.3720650672912598,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
11,10.756852626800537,0.0,1735684236.4755647,,1.37590491771698,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
12,10.76767873764038,0.0,1735684236.4863908,,1.3757115602493286,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
13,10.78083848953247,0.0,1735684236.4995506,,1.4369916915893555,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
14,10.794185876846313,0.0,1735684236.512898,,1.372610330581665,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
15,10.805079936981201,0.0,1735684236.523792,,1.3759262561798096,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
16,10.815704584121704,0.0,1735684236.5344167,,1.3753156661987305,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
17,10.827964782714844,0.0,1735684236.5466769,,1.3786993026733398,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
18,10.83867359161377,0.0,1735684236.5573857,,1.3749791383743286,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
19,10.849130392074585,0.0,1735684236.5678425,,1.4297702312469482,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
20,10.859559535980225,0.0,1735684236.5782716,,1.3789644241333008,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
21,10.869588375091553,0.0,1735684236.5883005,,1.38200044631958,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
22,10.879374027252197,0.0,1735684236.598086,,1.3813713788986206,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
23,10.88924264907837,0.0,1735684236.6079547,,1.3760491609573364,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
24,10.899178981781006,0.0,1735684236.617891,,1.3706896305084229,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
25,10.90914249420166,0.0,1735684236.6278546,,1.3709042072296143,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
26,10.919753789901733,0.0,1735684236.638466,,1.4286983013153076,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
27,10.930636405944824,0.0,1735684236.6493485,,1.3726603984832764,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
28,10.94143271446228,0.0,1735684236.6601448,,1.373924732208252,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
29,10.952292680740356,0.0,1735684236.6710048,,1.370124101638794,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
30,10.962896585464478,0.0,1735684236.6816087,,1.3723149299621582,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
31,10.973752975463867,0.0,1735684236.692465,,1.3733813762664795,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
32,10.98514986038208,0.0,1735684236.703862,,1.377731442451477,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
33,10.997007369995117,0.0,1735684236.7157195,,1.4330151081085205,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
34,11.007912158966064,0.0,1735684236.7266243,,1.3761414289474487,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
35,11.018920183181763,0.0,1735684236.7376323,,1.37314772605896,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
36,11.029616594314575,0.0,1735684236.7483287,,1.3719509840011597,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
37,11.040016651153564,0.0,1735684236.7587287,,1.3727242946624756,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
38,11.050860404968262,0.0,1735684236.7695725,,1.3723284006118774,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
39,11.06148099899292,0.0,1735684236.780193,,1.3691195249557495,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
40,11.072471380233765,0.0,1735684236.7911835,,1.373815655708313,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
41,11.082688808441162,0.0,1735684236.801401,,1.3758445978164673,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
42,11.092732429504395,0.0,1735684236.8114445,,1.3702094554901123,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
43,11.102540493011475,0.0,1735684236.8212526,,1.370728850364685,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
44,11.112268209457397,0.0,1735684236.8309803,,1.3739511966705322,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
45,11.121981143951416,0.0,1735684236.8406932,,1.3705593347549438,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
46,11.13296389579773,0.0,1735684236.851676,,1.3743855953216553,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
47,11.143667697906494,0.0,1735684236.8623798,,1.3695284128189087,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
48,11.15405559539795,0.0,1735684236.8727677,,1.3701468706130981,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
49,11.164183616638184,0.0,1735684236.8828957,,1.3741436004638672,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
50,11.174493312835693,0.0,1735684236.8932054,,1.3716496229171753,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
51,11.184715270996094,0.0,1735684236.9034274,,1.3697384595870972,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
52,11.194981336593628,0.0,1735684236.9136934,,1.3724291324615479,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
53,11.205125331878662,0.0,1735684236.9238374,,1.3725533485412598,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
54,11.21527886390686,0.0,1735684236.933991,,1.4277150630950928,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
55,11.225439548492432,0.0,1735684236.9441516,,1.3700770139694214,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
56,11.235599517822266,0.0,1735684236.9543116,,1.377407431602478,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
57,11.245811462402344,0.0,1735684236.9645236,,1.369308352470398,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
58,11.280637502670288,0.0,1735684236.9993496,,1.3706283569335938,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
59,11.293591499328613,0.0,1735684237.0123036,,1.3738936185836792,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
60,11.307923793792725,0.0,1735684237.026636,,1.37168288230896,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
61,11.321924924850464,0.0,1735684237.040637,,1.4280554056167603,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
62,11.338512659072876,0.0,1735684237.0572248,,1.3705395460128784,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
63,11.350504875183105,0.0,1735684237.069217,,1.3721158504486084,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
64,14.688952922821045,0.0,1735684240.407665,0.46925,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
65,14.719285726547241,0.0,1735684240.4379978,,1.3698989152908325,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
66,14.72994327545166,0.0,1735684240.4486554,,1.373821496963501,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
67,14.744343757629395,0.0,1735684240.4630558,,1.3730909824371338,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
68,14.758633375167847,0.0,1735684240.4773455,,1.368818759918213,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
69,14.773094892501831,0.0,1735684240.491807,,1.372113823890686,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
70,14.788652420043945,0.0,1735684240.5073645,,1.3717857599258423,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,1,4000,2,exp1_permuted_src_datasets
