_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,9.894589641,0.0,1737973413.490599,,,,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
1,9.96257355,0.0,1737973413.558656,0.0,,,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
2,11.001045746,0.0,1737973414.5969937,,1.519275426864624,0.5625,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
3,11.04155054,0.0,1737973414.5971408,,,,0.001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
4,13.560399266,0.0,1737973417.1563468,,1.5574244260787964,0.5625,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
5,13.560429795,0.0,1737973417.1565156,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
6,14.62956416,0.0,1737973418.2254772,,1.1248645782470703,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
7,14.629587064999999,0.0,1737973418.225638,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
8,17.559987421,0.0,1737973421.155922,,1.4472620487213135,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
9,17.560011068,0.0,1737973421.1560833,,,,0.0009999940000250001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
10,19.34031844,0.0,1737973422.9362264,,1.2378095388412476,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
11,19.340345683,0.0,1737973422.9363778,,,,0.000999990000065,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
12,21.18357677,0.0,1737973424.7794747,,1.099102258682251,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
13,21.225428353,0.0,1737973424.7796314,,,,0.0009999850001399992,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
14,23.285440646,0.0,1737973426.881386,,1.2145668268203735,0.6875,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
15,23.285468616,0.0,1737973426.881549,,,,0.0009999790002659977,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
16,25.072784883,0.0,1737973428.6687284,,1.0830703973770142,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
17,25.072820516,0.0,1737973428.668891,,,,0.0009999720004619944,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
18,27.017634832,0.0,1737973430.6135225,,1.0498578548431396,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
19,27.017663794,0.0,1737973430.613696,,,,0.0009999640007499883,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
20,28.040511792,0.0,1737973431.6364753,,0.8457317352294922,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
21,28.040544236,0.0,1737973431.6366389,,,,0.0009999550011549779,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
22,28.653046458,0.0,1737973432.2490153,,1.1277804374694824,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
23,28.653069502,0.0,1737973432.2491744,,,,0.0009999450017049607,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
24,29.595057429,0.0,1737973433.1910067,,0.9738941788673401,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
25,29.595085273,0.0,1737973433.1911747,,,,0.000999934002430934,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
26,30.531684989,0.0,1737973434.1276152,,1.0450048446655273,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
27,30.531713508,0.0,1737973434.1277788,,,,0.0009999220033668937,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
28,32.662659927,0.0,1737973436.2585437,,0.8303512930870056,0.875,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
29,32.705459802,0.0,1737973436.2587042,,,,0.0009999090045498345,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
30,33.914388466,0.0,1737973437.5103383,,0.8091791868209839,1.0,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
31,33.914423188,0.0,1737973437.510503,,,,0.0009998950060197502,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
32,36.767611883,0.0,1737973440.3635156,,0.7787734270095825,1.0,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
33,36.76764543,0.0,1737973440.363702,,,,0.0009998800078196328,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
34,37.712979603,0.0,1737973441.3089268,,0.9140664339065552,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
35,37.713010127,0.0,1737973441.3090909,,,,0.0009998640099954728,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
36,39.791694508,0.0,1737973443.3875942,,0.5744912028312683,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
37,39.791724104,0.0,1737973443.387778,,,,0.0009998470125962588,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
38,40.468491587,0.0,1737973444.0644433,,0.8058504462242126,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
39,40.468516749,0.0,1737973444.0646055,,,,0.0009998290156739765,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
40,43.022233103,0.0,1737973446.6180718,,0.7991894483566284,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Greek,False,10,4000,2,exp1_permuted_src_datasets
