_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.8097336292266846,0.0,1736005352.9729576,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
1,868.6948301792145,0.0,1736006217.8580542,0.3618500009775162,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
2,868.7621941566467,0.0,1736006217.9254181,,4.290616035461426,0.6499999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
3,868.8429574966431,0.0,1736006218.0061815,,3.1771960258483887,0.6499999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
4,868.9239928722382,0.0,1736006218.0872169,,1.708430290222168,0.824999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
5,869.0207993984222,0.0,1736006218.1840234,,0.7806440591812134,0.8125,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
6,869.1059062480927,0.0,1736006218.2691302,,0.304639995098114,0.9125000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
7,869.1914644241333,0.0,1736006218.3546884,,0.044494353234767914,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
8,869.2795526981354,0.0,1736006218.4427767,,0.21120798587799072,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
9,869.3678541183472,0.0,1736006218.531078,,0.08020636439323425,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
10,869.4484877586365,0.0,1736006218.6117117,,0.09118287265300751,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
11,869.5350661277771,0.0,1736006218.69829,,0.14940091967582703,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
12,869.6332428455353,0.0,1736006218.7964668,,0.5084412693977356,0.9125000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
13,869.7118773460388,0.0,1736006218.8751013,,0.3738262951374054,0.925000011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
14,869.8213896751404,0.0,1736006218.9846137,,0.32040271162986755,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
15,869.9089677333832,0.0,1736006219.0721917,,0.2465941607952118,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
16,869.9878940582275,0.0,1736006219.151118,,0.3493245542049408,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
17,870.0697124004364,0.0,1736006219.2329364,,0.380618155002594,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
18,870.1489481925964,0.0,1736006219.3121722,,0.3531530201435089,0.9125000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
19,870.2298018932343,0.0,1736006219.3930259,,0.11320959031581879,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
20,870.3075299263,0.0,1736006219.470754,,0.0029861237853765488,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
21,870.3877618312836,0.0,1736006219.5509858,,0.07089538872241974,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
22,870.4725632667542,0.0,1736006219.6357872,,0.00037765613524243236,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
23,870.5574214458466,0.0,1736006219.7206454,,0.07268577069044113,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
24,870.6408853530884,0.0,1736006219.8041093,,0.028828879818320274,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
25,870.7275507450104,0.0,1736006219.8907747,,0.035569194704294205,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
26,870.8139159679413,0.0,1736006219.97714,,0.005453682504594326,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
27,870.8967072963715,0.0,1736006220.0599313,,0.009121013805270195,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
28,870.981036901474,0.0,1736006220.144261,,0.007416541688144207,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
29,871.071626663208,0.0,1736006220.2348506,,0.011251239106059074,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
30,871.1533839702606,0.0,1736006220.316608,,0.1380683034658432,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
31,871.2348592281342,0.0,1736006220.3980832,,0.00393728818744421,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
32,871.3151426315308,0.0,1736006220.4783666,,0.036361970007419586,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
33,871.3991041183472,0.0,1736006220.562328,,0.06409285962581635,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
34,871.4819974899292,0.0,1736006220.6452215,,0.057533007115125656,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
35,871.5616738796234,0.0,1736006220.7248979,,0.0069278813898563385,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
36,871.643164396286,0.0,1736006220.8063884,,0.06209506839513779,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
37,871.7257976531982,0.0,1736006220.8890216,,0.0009445121395401657,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
38,871.8076341152191,0.0,1736006220.970858,,0.020478051155805588,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
39,871.8874781131744,0.0,1736006221.050702,,0.0976061001420021,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
40,871.9684898853302,0.0,1736006221.1317139,,0.0001420035696355626,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
41,872.0607092380524,0.0,1736006221.2239332,,0.004821090959012508,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
42,872.1482582092285,0.0,1736006221.3114822,,1.9228458768338896e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
43,872.230774641037,0.0,1736006221.3939986,,0.0002640548045746982,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
44,872.3144235610962,0.0,1736006221.4776475,,0.18492403626441956,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
45,872.4027180671692,0.0,1736006221.565942,,0.00031878799200057983,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
46,872.4861927032471,0.0,1736006221.6494167,,0.05629809573292732,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
47,872.5680317878723,0.0,1736006221.7312558,,0.000890322495251894,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
48,872.6491591930389,0.0,1736006221.8123832,,0.02674335241317749,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
49,872.7569758892059,0.0,1736006221.9201999,,2.0898107322864234e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
50,872.8623659610748,0.0,1736006222.02559,,0.00026512652402743697,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
51,872.9452159404755,0.0,1736006222.10844,,0.0001358492736471817,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
52,873.0265717506409,0.0,1736006222.1897957,,0.00014146897592581809,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,10,4000,2,exp1_permuted_src_datasets
