_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,228.53047466278076,0.0,1735504900.3454587,,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
1,228.94873523712158,0.0,1735504900.7637193,0.0,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
2,237.1844356060028,0.0,1735504908.9994197,,0.7279664278030396,0.9375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
3,237.18459582328796,0.0,1735504908.99958,,,,0.001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
4,1759.8413679599762,0.0,1735506431.656352,,,,,0.9176499972343445,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
5,1765.1314725875854,0.0,1735506436.9464567,,1.4980762004852295,0.9125000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
6,1765.1316139698029,0.0,1735506436.946598,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
7,3281.4218208789825,0.0,1735507953.236805,,,,,0.9281500000953674,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
8,3286.0919358730316,0.0,1735507957.90692,,0.3082885146141052,0.987500011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
9,3286.0920779705048,0.0,1735507957.907062,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
10,4792.133263587952,0.0,1735509463.9482477,,,,,0.9369499986171722,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
11,4796.791020393372,0.0,1735509468.6060045,,1.0687153339385986,0.949999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
12,4796.7911603450775,0.0,1735509468.6061444,,,,0.0009999940000250001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
13,6262.245358467102,0.0,1735510934.0603426,,,,,0.948649998664856,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
14,6267.993998527527,0.0,1735510939.8089826,,0.45780691504478455,0.9624999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
15,6267.9941556453705,0.0,1735510939.8091397,,,,0.000999990000065,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
16,7771.4335289001465,0.0,1735512443.248513,,,,,0.9512999994754792,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
17,7774.388811826706,0.0,1735512446.203796,,0.7794334292411804,0.9125000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
18,7774.389016866684,0.0,1735512446.204001,,,,0.0009999850001399992,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
19,9287.06655883789,0.0,1735513958.881543,,,,,0.959400000333786,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
20,9291.735813379288,0.0,1735513963.5507975,,0.7195708751678467,0.9624999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
21,9291.735985994339,0.0,1735513963.55097,,,,0.0009999790002659977,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
22,10818.186755895615,0.0,1735515490.00174,,,,,0.9622000012397766,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
23,10825.935422420502,0.0,1735515497.7504065,,0.6195265650749207,0.9375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
24,10825.935576438904,0.0,1735515497.7505605,,,,0.0009999720004619944,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
25,12385.996847629547,0.0,1735517057.8118317,,,,,0.9636999983787536,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
26,12391.068166971207,0.0,1735517062.883151,,0.2596034109592438,0.949999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
27,12391.068321466446,0.0,1735517062.8833055,,,,0.0009999640007499883,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
28,13920.195951223373,0.0,1735518592.0109353,,,,,0.9684500007629394,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
29,13928.384677410126,0.0,1735518600.1996615,,0.21491530537605286,0.949999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
30,13928.384889602661,0.0,1735518600.1998737,,,,0.0009999550011549779,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
31,15484.66964840889,0.0,1735520156.4846325,,,,,0.9669500019550323,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
32,15488.469019174576,0.0,1735520160.2840033,,0.09317785501480103,0.9750000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
33,15488.469178915024,0.0,1735520160.284163,,,,0.0009999450017049607,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
34,17031.6535449028,0.0,1735521703.468529,,,,,0.9693500044345855,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
35,17036.760930776596,0.0,1735521708.5759149,,0.607138991355896,0.925000011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
36,17036.761101722717,0.0,1735521708.5760858,,,,0.000999934002430934,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
37,18585.784586191177,0.0,1735523257.5995703,,,,,0.968600002527237,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
38,18591.371359825134,0.0,1735523263.186344,,0.6542865037918091,0.9375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
39,18591.371500253677,0.0,1735523263.1864843,,,,0.0009999220033668937,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
40,20132.809165000916,0.0,1735524804.624149,,,,,0.970750004529953,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
41,20137.16284775734,0.0,1735524808.9778318,,0.14610698819160461,0.949999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
42,20137.163034915924,0.0,1735524808.978019,,,,0.0009999090045498345,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
43,21679.58345079422,0.0,1735526351.3984349,,,,,0.9724500036239624,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
