_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.931180087,0.0,1738664803.9198976,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
1,9.889590005,0.0,1738664812.8786676,0.8335,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
2,9.92431078,0.0,1738664812.911635,,0.8731085658073425,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
3,10.148565029,0.0,1738664813.136883,,0.8060880303382874,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
4,10.18883938,0.0,1738664813.1766043,,0.9575570225715637,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
5,10.243637714,0.0,1738664813.2326016,,0.8071683049201965,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
6,10.309816,0.0,1738664813.2981942,,0.8501731157302856,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
7,10.356814395,0.0,1738664813.3457658,,0.8968595862388611,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
8,10.419654517,0.0,1738664813.408525,,0.80427485704422,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
9,10.483674378,0.0,1738664813.4724941,,0.8701200485229492,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
10,10.543021712,0.0,1738664813.5314074,,0.8000422120094299,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
11,10.583644108,0.0,1738664813.572578,,0.8219817280769348,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
12,10.643124986,0.0,1738664813.631562,,0.8727709054946899,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
13,10.703706983,0.0,1738664813.6925726,,0.8453149795532227,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
14,10.7530648,0.0,1738664813.741986,,0.844046950340271,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
15,10.810246794,0.0,1738664813.7979834,,0.764969527721405,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
16,10.873456332,0.0,1738664813.8606627,,0.8446863889694214,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
17,10.931740275,0.0,1738664813.9206045,,0.7828567028045654,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
18,10.995545897,0.0,1738664813.9830256,,0.8893800973892212,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
19,11.058076826,0.0,1738664814.0469358,,0.7869812250137329,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
20,11.123042596,0.0,1738664814.1118505,,0.8072389364242554,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
21,11.181538842,0.0,1738664814.1704273,,0.8281643986701965,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
22,11.252451455,0.0,1738664814.2412674,,0.8109911680221558,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
23,11.326506046,0.0,1738664814.314424,,0.7580341696739197,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
24,11.382002735,0.0,1738664814.3709295,,0.7269302010536194,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
25,11.443307596,0.0,1738664814.430983,,0.8042667508125305,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
26,11.487839508,0.0,1738664814.476426,,0.7990319132804871,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
27,11.559724616,0.0,1738664814.5471733,,0.7560223340988159,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
28,11.618068915,0.0,1738664814.6059003,,0.7435921430587769,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
29,11.668963282,0.0,1738664814.6572733,,0.7659494876861572,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
30,11.736970426,0.0,1738664814.7250922,,0.7279818654060364,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
31,11.794886568999999,0.0,1738664814.7836142,,0.826115071773529,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
32,11.832580795,0.0,1738664814.8215,,0.7067148089408875,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
33,11.891799272,0.0,1738664814.880714,,0.8216765522956848,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
34,11.961511909,0.0,1738664814.9503837,,0.8019903898239136,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
35,12.021091913,0.0,1738664815.009371,,0.8320057392120361,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
36,12.065416574,0.0,1738664815.054357,,0.8091229796409607,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
37,12.114776512,0.0,1738664815.1023388,,0.8133625984191895,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
38,12.174543096,0.0,1738664815.1634734,,0.7925182580947876,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
39,12.22698076,0.0,1738664815.215512,,0.7718647122383118,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
40,12.295149133,0.0,1738664815.2837899,,0.765539824962616,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
41,12.363344948,0.0,1738664815.352257,,0.737320065498352,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
42,12.416318554,0.0,1738664815.4011085,,0.7796047925949097,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
43,12.474588534,0.0,1738664815.4635046,,0.6856391429901123,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
44,12.548847033,0.0,1738664815.5377104,,0.7698941826820374,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
45,12.607878311,0.0,1738664815.5967762,,0.7036089897155762,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
46,12.659061134,0.0,1738664815.647909,,0.7201886177062988,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
47,12.706929645,0.0,1738664815.6957295,,0.6949756741523743,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
48,12.777405055,0.0,1738664815.7663445,,0.7989058494567871,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
49,12.84094793,0.0,1738664815.8284867,,0.8112815618515015,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
50,12.891533901,0.0,1738664815.8786366,,0.737869143486023,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
51,12.954380224,0.0,1738664815.941973,,0.8415116667747498,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
52,13.028362696,0.0,1738664816.0166614,,0.8618088960647583,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
53,13.081695841,0.0,1738664816.0691826,,0.8051736354827881,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
54,13.162322121,0.0,1738664816.151122,,0.7112624645233154,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
55,13.231198179,0.0,1738664816.2199461,,0.6940168142318726,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
56,13.286679083,0.0,1738664816.2750819,,0.701332151889801,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
57,13.337112549,0.0,1738664816.3242433,,0.6743433475494385,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
58,13.400149617,0.0,1738664816.3873973,,0.7513176798820496,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
59,13.469718315,0.0,1738664816.458554,,0.7268834710121155,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
60,13.526097545,0.0,1738664816.513578,,0.7367504835128784,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,5,4000,2,exp1_permuted_src_datasets
