_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.882371425628662,0.0,1735650508.7669854,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
1,473.49973464012146,0.0,1735650978.3843486,0.36709999936819077,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
2,473.54836773872375,0.0,1735650978.4329817,,0.3455955684185028,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
3,473.5899760723114,0.0,1735650978.47459,,0.04066921025514603,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
4,473.6465940475464,0.0,1735650978.531208,,0.07879674434661865,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
5,473.7058129310608,0.0,1735650978.590427,,0.15522964298725128,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
6,473.7794451713562,0.0,1735650978.6640592,,0.05668842792510986,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
7,473.8209743499756,0.0,1735650978.7055883,,0.0024628157261759043,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
8,473.8646242618561,0.0,1735650978.7492383,,0.02859155833721161,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
9,473.91494154930115,0.0,1735650978.7995555,,3.680107738546212e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
10,473.9578528404236,0.0,1735650978.8424668,,8.120970278469031e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
11,474.000789642334,0.0,1735650978.8854036,,1.4901158529312397e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
