_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,5.842334270477295,0.0,1735645291.3918524,,,,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
1,32.218056440353394,0.0,1735645317.7675745,0.81925,,,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
2,32.238121509552,0.0,1735645317.7876396,,1.0688427686691284,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
3,32.26779270172119,0.0,1735645317.8173108,,1.1483242511749268,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
4,32.29659295082092,0.0,1735645317.846111,,1.078589916229248,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
5,32.32505202293396,0.0,1735645317.8745701,,1.0827693939208984,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
6,32.354347229003906,0.0,1735645317.9038653,,1.0227404832839966,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
7,32.3840811252594,0.0,1735645317.9335992,,0.9443621039390564,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
8,32.411823749542236,0.0,1735645317.9613419,,0.8969827890396118,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
9,32.43935251235962,0.0,1735645317.9888706,,0.9871569275856018,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
10,32.46643424034119,0.0,1735645318.0159523,,0.9361671209335327,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
11,32.49418926239014,0.0,1735645318.0437074,,0.9141136407852173,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
12,32.520777463912964,0.0,1735645318.0702956,,0.953594982624054,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
13,32.548115491867065,0.0,1735645318.0976336,,0.946347177028656,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
14,32.575406312942505,0.0,1735645318.1249244,,0.8529087901115417,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
15,32.6033570766449,0.0,1735645318.1528752,,0.8429424166679382,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
16,32.63556122779846,0.0,1735645318.1850793,,0.857306718826294,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
17,32.66878080368042,0.0,1735645318.218299,,0.7881050705909729,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
18,32.6977801322937,0.0,1735645318.2472982,,0.8722740411758423,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
19,32.726038455963135,0.0,1735645318.2755566,,0.7705105543136597,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
20,32.7613205909729,0.0,1735645318.3108387,,0.8698654174804688,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
21,32.78930735588074,0.0,1735645318.3388255,,0.782362163066864,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
22,32.81663465499878,0.0,1735645318.3661528,,0.8791825771331787,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
23,32.84434127807617,0.0,1735645318.3938594,,0.8866408467292786,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
24,32.87193322181702,0.0,1735645318.4214513,,0.8138660192489624,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
25,32.89959502220154,0.0,1735645318.4491131,,0.8526173233985901,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
26,32.92657160758972,0.0,1735645318.4760897,,0.7604977488517761,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
27,32.954514503479004,0.0,1735645318.5040326,,0.7921386957168579,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
28,32.982343435287476,0.0,1735645318.5318615,,0.879790186882019,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
29,33.009490728378296,0.0,1735645318.5590088,,0.878070056438446,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
30,33.03806233406067,0.0,1735645318.5875804,,0.7731754779815674,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
31,33.06721568107605,0.0,1735645318.6167338,,0.8016588687896729,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
32,33.09659385681152,0.0,1735645318.646112,,0.7346441745758057,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
33,33.12617325782776,0.0,1735645318.6756914,,0.8305192589759827,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
34,33.157713651657104,0.0,1735645318.7072318,,0.8288388252258301,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
35,33.197723627090454,0.0,1735645318.7472417,,0.718295156955719,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
36,33.2362904548645,0.0,1735645318.7858086,,0.749685525894165,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
37,33.26442265510559,0.0,1735645318.8139408,,0.7617098093032837,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
38,33.2919807434082,0.0,1735645318.8414989,,0.7170931100845337,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
39,33.31801795959473,0.0,1735645318.867536,,0.7895581126213074,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
40,33.34462547302246,0.0,1735645318.8941436,,0.7422212958335876,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
41,33.372458696365356,0.0,1735645318.9219768,,0.7099589705467224,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,omniglot_SOTA_testSet,TKH,False,5,4000,2,exp1_permuted_src_datasets
