_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.828422454,0.0,1738315918.5635743,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
1,127.633924206,0.0,1738316045.3691208,0.8611999998092651,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
2,127.666547426,0.0,1738316045.4016778,,0.006649589631706476,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
3,128.28129871,0.0,1738316046.016426,,0.003430756274610758,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
4,128.344141382,0.0,1738316046.0792398,,0.0012051269877701998,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
5,128.40345019,0.0,1738316046.1384995,,0.0003015160618815571,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
6,128.445216683,0.0,1738316046.1803346,,0.00016545028483960778,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
7,128.487812216,0.0,1738316046.2229295,,7.149109296733513e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
8,128.546279275,0.0,1738316046.2813566,,5.0348236982245e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
9,128.592440181,0.0,1738316046.3275394,,2.0275347196729854e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
10,128.637323303,0.0,1738316046.3724089,,1.9282584617030807e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
11,128.688995124,0.0,1738316046.4240665,,1.2939803127665073e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
12,128.728592232,0.0,1738316046.4636765,,1.243305996467825e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
13,128.788166825,0.0,1738316046.523257,,6.069161827326752e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
14,128.836824214,0.0,1738316046.5719173,,3.5047046367253643e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
15,128.875140407,0.0,1738316046.610248,,3.7535689898504643e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
16,128.926662029,0.0,1738316046.6617482,,3.5583580029197037e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
17,128.989442239,0.0,1738316046.7244918,,2.449734665788128e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
18,129.033681897,0.0,1738316046.7687733,,1.4617974102293374e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
19,129.087562383,0.0,1738316046.8226607,,1.0892715636146022e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
20,129.12867431,0.0,1738316046.8637798,,1.889455006676144e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
21,129.170532501,0.0,1738316046.905623,,6.213768983798218e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
22,129.210816635,0.0,1738316046.9459155,,7.972104754117026e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,b-59-850,False,5,4000,2,exp1_permuted_src_datasets
