_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.235770783,0.0,1738462488.820685,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
1,19.243345096,0.0,1738462500.8283138,0.627,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
2,19.260616246,0.0,1738462500.8455198,,1.4393970966339111,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
3,19.340802879,0.0,1738462500.9257145,,1.3812185525894165,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
4,19.351250761,0.0,1738462500.9361901,,1.4328254461288452,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
5,19.364859562,0.0,1738462500.9497273,,1.42758047580719,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
6,19.378282057,0.0,1738462500.9632215,,1.4005128145217896,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
7,19.396152814,0.0,1738462500.9810936,,1.3795013427734375,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
8,19.415994238,0.0,1738462501.0008993,,1.3811016082763672,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
9,19.434379891,0.0,1738462501.0192652,,1.4321337938308716,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
10,19.444688585,0.0,1738462501.0296,,1.3811466693878174,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
11,19.461829613,0.0,1738462501.0467107,,1.3788038492202759,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
12,19.482752502,0.0,1738462501.0676734,,1.4304444789886475,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
13,19.496281324999998,0.0,1738462501.0812266,,1.4323108196258545,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
14,19.516231846,0.0,1738462501.1011603,,1.3774334192276,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
15,19.538043942,0.0,1738462501.12287,,1.3808459043502808,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
16,19.551707452,0.0,1738462501.1366158,,1.3771693706512451,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
17,19.565386443,0.0,1738462501.1503203,,1.3707929849624634,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
18,19.578680517,0.0,1738462501.163621,,1.4291298389434814,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
19,19.592015105,0.0,1738462501.1769595,,1.3780311346054077,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
20,19.611918194,0.0,1738462501.1967516,,1.3718966245651245,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
21,19.642526173,0.0,1738462501.2273643,,1.3757344484329224,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
22,19.657057715,0.0,1738462501.2418668,,1.371156096458435,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
23,19.667555651,0.0,1738462501.252474,,1.376530647277832,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
24,19.680960707,0.0,1738462501.2658708,,1.4288700819015503,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
25,19.694724169,0.0,1738462501.279649,,1.3746165037155151,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
26,19.704465084,0.0,1738462501.289405,,1.3725340366363525,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
27,19.723005265,0.0,1738462501.307877,,1.37461519241333,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
28,19.742260253,0.0,1738462501.3271134,,1.3705040216445923,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
29,19.76232704,0.0,1738462501.3471887,,1.3737599849700928,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
30,19.784369284,0.0,1738462501.3690374,,1.3714115619659424,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
31,19.806366897,0.0,1738462501.3911278,,1.3707417249679565,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
32,19.828360454,0.0,1738462501.4132135,,1.375481128692627,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
33,19.840378576,0.0,1738462501.4253082,,1.3766629695892334,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
34,19.859674243,0.0,1738462501.4445417,,1.3729099035263062,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
35,19.879394822,0.0,1738462501.4642901,,1.3748197555541992,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
36,19.89800339,0.0,1738462501.4828901,,1.3707441091537476,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
37,19.918747473,0.0,1738462501.5036178,,1.3732504844665527,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
38,19.939676566,0.0,1738462501.524572,,1.3750911951065063,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
39,19.959903703,0.0,1738462501.5447636,,1.3740921020507812,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
40,19.980681666,0.0,1738462501.5655422,,1.4331419467926025,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
41,20.001493048,0.0,1738462501.586393,,1.3736335039138794,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
42,20.018165443,0.0,1738462501.6031117,,1.374183177947998,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
43,20.028107911,0.0,1738462501.6129713,,1.373016119003296,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
44,20.038674931,0.0,1738462501.623557,,1.3726495504379272,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
45,20.054992003,0.0,1738462501.6399033,,1.3721890449523926,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
46,20.07928329,0.0,1738462501.6641476,,1.372704267501831,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
47,20.09363851,0.0,1738462501.6785665,,1.3733478784561157,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
48,20.110035584,0.0,1738462501.6949208,,1.374159336090088,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
49,20.120995912,0.0,1738462501.7059255,,1.3731913566589355,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
50,20.139457134,0.0,1738462501.7243629,,1.3731582164764404,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
51,20.15397577,0.0,1738462501.738876,,1.3754119873046875,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
52,20.168741927,0.0,1738462501.7536263,,1.4282524585723877,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
53,20.189652775,0.0,1738462501.774546,,1.373239278793335,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
54,20.20429966,0.0,1738462501.7891822,,1.3722422122955322,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
55,20.218715853,0.0,1738462501.8036516,,1.3744018077850342,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
56,20.236905941,0.0,1738462501.821825,,1.4301331043243408,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
57,20.258977578,0.0,1738462501.8438656,,1.372667908668518,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
58,20.279250044,0.0,1738462501.8641033,,1.4277653694152832,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
59,20.29948309,0.0,1738462501.8843372,,1.3691507577896118,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
60,20.317790858,0.0,1738462501.9027174,,1.3705158233642578,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
61,20.336600081,0.0,1738462501.9214303,,1.3701475858688354,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
62,20.351422217,0.0,1738462501.9363647,,1.3724699020385742,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
63,20.360978003,0.0,1738462501.9459343,,1.3706309795379639,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
64,32.456555587,0.0,1738462514.0415409,0.68575,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
65,32.486033296,0.0,1738462514.0709724,,1.3738754987716675,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
66,32.501928567,0.0,1738462514.0868638,,1.372448205947876,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
67,32.517773783,0.0,1738462514.1026495,,1.3695693016052246,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
68,32.527558753,0.0,1738462514.1124961,,1.372936725616455,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
69,32.54116445,0.0,1738462514.1260688,,1.43165922164917,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
70,32.554521371999996,0.0,1738462514.1394491,,1.371471881866455,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
71,32.572735722,0.0,1738462514.1576471,,1.3724192380905151,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
72,32.59030868,0.0,1738462514.1752245,,1.3684873580932617,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
73,32.612122922,0.0,1738462514.1970048,,1.3726941347122192,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
74,32.627107111,0.0,1738462514.2119942,,1.3738288879394531,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
75,32.639638428,0.0,1738462514.224542,,1.3691527843475342,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
76,32.651349936,0.0,1738462514.2362897,,1.3683133125305176,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
77,32.668793378,0.0,1738462514.2536623,,1.4280736446380615,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
78,32.683918088,0.0,1738462514.2688386,,1.3762493133544922,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
79,32.699502363,0.0,1738462514.284419,,1.3690840005874634,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
80,32.71628166,0.0,1738462514.3011963,,1.3722673654556274,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
81,32.729561538,0.0,1738462514.3145027,,1.3719775676727295,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
82,32.742864495,0.0,1738462514.327768,,1.4290767908096313,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
83,32.759854354,0.0,1738462514.3447447,,1.3723373413085938,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
84,32.77309324,0.0,1738462514.358033,,1.3709874153137207,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
85,32.78610275,0.0,1738462514.3710215,,1.3737812042236328,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
86,32.808375246,0.0,1738462514.3932421,,1.3689541816711426,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
87,32.829061111,0.0,1738462514.4139795,,1.3711737394332886,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
88,32.841961598,0.0,1738462514.4269083,,1.3693873882293701,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
89,32.854223915,0.0,1738462514.4391549,,1.3681647777557373,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
90,32.863798025,0.0,1738462514.4487314,,1.3757249116897583,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
91,32.873156974,0.0,1738462514.4581094,,1.3738908767700195,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
92,32.891926946,0.0,1738462514.4767747,,1.3726909160614014,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
93,32.913462883,0.0,1738462514.4982526,,1.3698644638061523,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
94,32.93399897,0.0,1738462514.518884,,1.3699455261230469,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
95,32.954251175,0.0,1738462514.5391343,,1.37542724609375,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
96,32.974585585,0.0,1738462514.5594497,,1.36910080909729,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
97,32.995023195,0.0,1738462514.5798447,,1.4876551628112793,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
98,33.015389711,0.0,1738462514.6002648,,1.3697683811187744,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
99,33.027023226,0.0,1738462514.6119037,,1.3727006912231445,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
100,33.050670006,0.0,1738462514.6354501,,1.374062418937683,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
101,33.070211191,0.0,1738462514.655025,,1.3697001934051514,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
102,33.088301655,0.0,1738462514.6732225,,1.3766170740127563,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
103,33.112024869,0.0,1738462514.6968937,,1.3715366125106812,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
104,33.135058071,0.0,1738462514.7199788,,1.372674584388733,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
105,33.148710255,0.0,1738462514.7335947,,1.3737486600875854,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
106,33.16192964,0.0,1738462514.7468505,,1.373454213142395,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
107,33.171621358,0.0,1738462514.7565615,,1.3724861145019531,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
108,33.191910533,0.0,1738462514.7767992,,1.3721473217010498,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
109,33.214308555,0.0,1738462514.7991557,,1.370312213897705,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
110,33.23411788,0.0,1738462514.8189752,,1.3690624237060547,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
111,33.243901272,0.0,1738462514.8288355,,1.3756747245788574,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
112,33.25343921,0.0,1738462514.8383925,,1.4274734258651733,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
113,33.262931468,0.0,1738462514.8478534,,1.3700312376022339,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
114,33.273707425,0.0,1738462514.8586416,,1.4311317205429077,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
115,33.28367397,0.0,1738462514.8686156,,1.3720409870147705,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
116,33.293032624,0.0,1738462514.8779857,,1.427287220954895,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
117,33.303458718,0.0,1738462514.888393,,1.3728121519088745,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
118,33.321890385,0.0,1738462514.9066882,,1.3751403093338013,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
119,33.337988455,0.0,1738462514.922873,,1.370187520980835,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
120,33.352388147,0.0,1738462514.9372687,,1.3724374771118164,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
121,33.374018485,0.0,1738462514.9588916,,1.373504877090454,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
122,33.389445763,0.0,1738462514.9743707,,1.3698559999465942,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
123,33.408854703,0.0,1738462514.9937778,,1.3696610927581787,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
124,33.422504492,0.0,1738462515.0074475,,1.36907160282135,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
125,33.44031978,0.0,1738462515.0252683,,1.4277217388153076,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
126,33.463628677,0.0,1738462515.0485177,,1.3726979494094849,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
127,45.390401509,0.0,1738462526.9753695,0.682,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
128,45.398861301,0.0,1738462526.9837685,,1.3744934797286987,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
129,45.415008518,0.0,1738462526.999893,,1.3724498748779297,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
