_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,48.107040807,0.0,1738371353.6882515,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
1,67.175415876,0.0,1738371372.7566578,0.58825,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
2,67.187326648,0.0,1738371372.7685075,,1.379481315612793,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
3,67.294960966,0.0,1738371372.8760164,,1.4382483959197998,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
4,67.312223086,0.0,1738371372.8934598,,1.3972830772399902,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
5,67.333404622,0.0,1738371372.9145644,,1.3873424530029297,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
6,67.35621458,0.0,1738371372.937295,,1.3848662376403809,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
7,67.378787701,0.0,1738371372.9599879,,1.3751035928726196,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
8,67.405596678,0.0,1738371372.986713,,1.3723089694976807,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
9,67.432419991,0.0,1738371373.0135636,,1.4319477081298828,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
10,67.458648628,0.0,1738371373.03974,,1.3716791868209839,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
11,67.473376085,0.0,1738371373.0546038,,1.3748983144760132,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
12,67.495008428,0.0,1738371373.0761511,,1.3744767904281616,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
13,67.517267496,0.0,1738371373.0984414,,1.3722716569900513,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
14,67.538681709,0.0,1738371373.11986,,1.4877564907073975,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
15,67.561171626,0.0,1738371373.1422486,,1.3702138662338257,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
16,67.58251514,0.0,1738371373.1635773,,1.375510334968567,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
17,67.59872762,0.0,1738371373.1798885,,1.429118275642395,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
18,67.615237755,0.0,1738371373.1963737,,1.370670199394226,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
19,67.625829229,0.0,1738371373.2070374,,1.3712457418441772,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
20,67.637310167,0.0,1738371373.2185225,,1.429746389389038,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
21,67.648462938,0.0,1738371373.2296882,,1.371734380722046,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
22,67.668639614,0.0,1738371373.2498095,,1.4285273551940918,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
23,67.691614966,0.0,1738371373.272783,,1.373378038406372,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
24,67.70700462799999,0.0,1738371373.2882223,,1.373931646347046,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
25,67.720266145,0.0,1738371373.3014956,,1.429694652557373,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
26,67.734747214,0.0,1738371373.315982,,1.3726166486740112,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
27,67.759618815,0.0,1738371373.340801,,1.4318788051605225,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
28,67.781677539,0.0,1738371373.3628325,,1.3698687553405762,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
29,67.803761596,0.0,1738371373.3849382,,1.3699854612350464,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
30,67.825541636,0.0,1738371373.4067209,,1.3728781938552856,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
31,67.842242395,0.0,1738371373.4234295,,1.369627833366394,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
32,67.857936768,0.0,1738371373.4390695,,1.3705893754959106,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
33,67.877191613,0.0,1738371373.4583523,,1.3725035190582275,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
34,67.899900678,0.0,1738371373.48106,,1.37771475315094,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
35,67.912340885,0.0,1738371373.4935362,,1.3709536790847778,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
36,67.928476627,0.0,1738371373.5096292,,1.3691431283950806,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
37,67.9509637,0.0,1738371373.532124,,1.370163917541504,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
38,67.973403476,0.0,1738371373.5545812,,1.372740387916565,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
39,67.99867899,0.0,1738371373.5798943,,1.3739867210388184,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
40,68.009157113,0.0,1738371373.5903804,,1.373184323310852,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
41,68.019906907,0.0,1738371373.601141,,1.4278154373168945,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
42,68.030572685,0.0,1738371373.611827,,1.368807315826416,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
43,68.040678486,0.0,1738371373.62194,,1.3756988048553467,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
44,68.057425843,0.0,1738371373.6386416,,1.4298529624938965,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
45,68.068312393,0.0,1738371373.6495442,,1.3726080656051636,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
46,68.088293114,0.0,1738371373.6694777,,1.372959852218628,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
47,68.110776969,0.0,1738371373.6919355,,1.3698481321334839,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
48,68.124049221,0.0,1738371373.705287,,1.3722649812698364,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
49,68.147336373,0.0,1738371373.728474,,1.3703969717025757,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
50,68.167231492,0.0,1738371373.7484486,,1.427943229675293,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
51,68.188195038,0.0,1738371373.769344,,1.3725751638412476,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
52,68.203189397,0.0,1738371373.7844179,,1.376819372177124,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
53,68.213919776,0.0,1738371373.7951567,,1.3766703605651855,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
54,68.227504145,0.0,1738371373.8087363,,1.3734604120254517,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
55,68.248429674,0.0,1738371373.8295703,,1.376183271408081,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
56,68.270584661,0.0,1738371373.8517854,,1.3731552362442017,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
57,68.280952553,0.0,1738371373.8622043,,1.3729945421218872,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
58,68.299646136,0.0,1738371373.8807678,,1.3689067363739014,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
