_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,13.622303009033203,0.0,1736399705.119615,,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
1,13.693926811218262,0.0,1736399705.1912389,0.0,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
2,14.212617635726929,0.0,1736399705.7099297,,57.84827423095703,0.30000001192092896,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
3,14.212756633758545,0.0,1736399705.7100687,,,,0.001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
4,14.70512580871582,0.0,1736399706.2024379,,35.100624084472656,0.3499999940395355,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
5,14.705249786376953,0.0,1736399706.2025619,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
6,15.220916748046875,0.0,1736399706.7182288,,34.0888557434082,0.2750000059604645,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
7,15.221064805984497,0.0,1736399706.7183769,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
8,15.736707925796509,0.0,1736399707.23402,,25.347911834716797,0.3125,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
9,15.736831903457642,0.0,1736399707.234144,,,,0.0009999940000250001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
10,16.252085208892822,0.0,1736399707.7493973,,25.479766845703125,0.3375000059604645,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
11,16.25222945213318,0.0,1736399707.7495415,,,,0.000999990000065,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
12,16.779283046722412,0.0,1736399708.276595,,22.966136932373047,0.25,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,miniImageNet_SOTA_trainSet,False,1,4000,2,exp1_permuted_src_datasets
