_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.153996229171753,0.0,1736303683.707245,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
1,913.0554103851318,0.0,1736304589.6086593,0.8201500005722046,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
2,913.1291399002075,0.0,1736304589.6823888,,0.8334922790527344,0.8500000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
3,913.2225320339203,0.0,1736304589.775781,,0.46050700545310974,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
4,913.3049547672272,0.0,1736304589.8582036,,0.547568678855896,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
5,913.3852972984314,0.0,1736304589.9385462,,0.42815977334976196,0.925000011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
6,913.4661817550659,0.0,1736304590.0194306,,0.09613218903541565,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
7,913.5491011142731,0.0,1736304590.10235,,0.04796520620584488,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
8,913.6309032440186,0.0,1736304590.1841521,,0.010264532640576363,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
9,913.7425999641418,0.0,1736304590.2958488,,0.0005077148671261966,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
10,913.8358383178711,0.0,1736304590.3890872,,0.08300469815731049,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
11,913.9159655570984,0.0,1736304590.4692144,,0.060471076518297195,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
12,914.0016756057739,0.0,1736304590.5549245,,0.03262541443109512,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
13,914.0820825099945,0.0,1736304590.6353314,,0.02551039680838585,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
14,914.1878960132599,0.0,1736304590.741145,,0.03127069026231766,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
15,914.2711133956909,0.0,1736304590.8243623,,0.09554598480463028,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,miniImageNet_SOTA_trainSet,False,10,4000,2,exp1_permuted_src_datasets
