_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,1.654034964,0.0,1736018455.6042035,,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
1,4.431117724,0.0,1736018458.3813834,0.2505,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
2,4.438661999,0.0,1736018458.3888924,,1.4963710308074951,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
3,4.448842422,0.0,1736018458.399089,,1.4517804384231567,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
4,4.45803535,0.0,1736018458.408299,,1.3918533325195312,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
5,4.467592951,0.0,1736018458.417752,,1.4933587312698364,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
6,4.478168613,0.0,1736018458.428391,,1.4380518198013306,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
7,4.48748554,0.0,1736018458.4377396,,1.390495777130127,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
8,4.496846105,0.0,1736018458.4470825,,1.4460062980651855,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
9,4.5061963689999995,0.0,1736018458.456453,,1.3869670629501343,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,Greek,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
