_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,1.145676364,0.0,1738522981.0579317,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
1,242.187074844,0.0,1738523222.0609574,0.8592500002384186,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
2,242.243075772,0.0,1738523222.1552632,,0.12663863599300385,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
3,242.453507439,0.0,1738523222.3656502,,0.05215732008218765,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
4,242.562092385,0.0,1738523222.4742873,,0.0018624620279297233,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
5,242.697717379,0.0,1738523222.6099203,,0.0006201037322171032,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
6,242.781288833,0.0,1738523222.6934788,,5.74696168769151e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
7,242.923547778,0.0,1738523222.8356698,,0.00036818793159909546,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
8,243.062039888,0.0,1738523222.9742615,,0.0017550695920363069,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
9,243.161293524,0.0,1738523223.0734801,,0.00026179675478488207,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
10,243.273469661,0.0,1738523223.1856644,,0.0017226000782102346,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
11,243.418922695,0.0,1738523223.3310382,,0.00021423697762656957,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
12,243.51001715,0.0,1738523223.422156,,0.00013737197150476277,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
13,243.639712737,0.0,1738523223.5519001,,0.00012905016774311662,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
14,243.773177095,0.0,1738523223.6853063,,0.00017510706675238907,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
15,243.894631854,0.0,1738523223.8068085,,5.969292396912351e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
16,244.061467701,0.0,1738523223.9736676,,9.254551696358249e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
17,244.199396085,0.0,1738523224.1115866,,5.7304663641843945e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
18,244.279953349,0.0,1738523224.1920972,,0.0005105930613353848,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
19,244.364481835,0.0,1738523224.2766726,,0.000291956850560382,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
20,244.460197491,0.0,1738523224.372421,,0.00013691694766748697,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
21,244.580012798,0.0,1738523224.4921722,,7.432479469571263e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
22,244.714208109,0.0,1738523224.6263542,,0.00014616770204156637,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
23,244.816837446,0.0,1738523224.7290072,,6.485630001407117e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
24,244.905910917,0.0,1738523224.8180604,,7.718624692643061e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
25,245.015481255,0.0,1738523224.9275787,,0.00012144781794631854,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
26,245.14049171,0.0,1738523225.052599,,5.924045035499148e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
27,245.316073542,0.0,1738523225.2282596,,0.0006465582991950214,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
