_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,5.724869341,0.0,1738490045.569221,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
1,130.92682518,0.0,1738490170.7298183,0.6836000010967255,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
2,130.926879784,0.0,1738490170.7674057,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
3,131.030874935,0.0,1738490170.875295,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
4,131.074912229,0.0,1738490170.919334,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
5,131.108163495,0.0,1738490170.952614,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
6,131.15268684,0.0,1738490170.9971192,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
7,131.187353247,0.0,1738490171.0317602,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
8,131.221143272,0.0,1738490171.0655806,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
9,131.264050545,0.0,1738490171.1085138,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
10,131.297262299,0.0,1738490171.1417027,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
11,131.315190014,0.0,1738490171.1597126,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
12,131.332758055,0.0,1738490171.177277,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
