_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.537223144,0.0,1738453788.2224486,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
1,23.522093122,0.0,1738453804.207346,0.57025,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
2,23.545359685,0.0,1738453804.23048,,0.9264736771583557,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
3,23.654484032,0.0,1738453804.3396304,,0.9115577936172485,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
4,23.688700032,0.0,1738453804.3738034,,0.9005817770957947,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
5,23.72048181,0.0,1738453804.4055424,,1.0838202238082886,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
6,23.752338858999998,0.0,1738453804.4373593,,1.168349027633667,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
7,23.78091598,0.0,1738453804.4659867,,0.896903395652771,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
8,23.807906054,0.0,1738453804.4930136,,0.8891792297363281,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
9,23.849226193,0.0,1738453804.5342784,,0.9652881026268005,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
10,23.89070349,0.0,1738453804.575742,,0.9153099656105042,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
11,23.919227235,0.0,1738453804.604285,,0.9747616052627563,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
12,23.964440693,0.0,1738453804.6494572,,1.0061583518981934,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
13,24.006633084,0.0,1738453804.691699,,0.8164113759994507,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
