_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,47.975599197,0.0,1738359683.7094738,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
1,252.341354039,0.0,1738359888.0362835,0.5154999990463257,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
2,252.341386689,0.0,1738359888.074856,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
3,252.435163482,0.0,1738359888.1691728,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
4,252.482627433,0.0,1738359888.2166147,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
5,252.524183655,0.0,1738359888.258199,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
6,252.544913915,0.0,1738359888.278928,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
7,252.579226379,0.0,1738359888.3132348,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
8,252.607800078,0.0,1738359888.3417845,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
9,252.641054092,0.0,1738359888.3750675,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
10,252.669083848,0.0,1738359888.4031293,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
11,252.705234225,0.0,1738359888.4392421,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
12,252.747435988,0.0,1738359888.4814126,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
13,252.794525048,0.0,1738359888.5285501,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
14,252.831372927,0.0,1738359888.5653944,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
15,252.863563185,0.0,1738359888.5975628,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
16,252.895527475,0.0,1738359888.6295195,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
17,252.917165431,0.0,1738359888.651191,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
18,252.946361757,0.0,1738359888.6803834,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
19,252.991219506,0.0,1738359888.7250862,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
20,253.032026472,0.0,1738359888.7659903,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
21,253.064712093,0.0,1738359888.7986736,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
22,253.100338258,0.0,1738359888.8343568,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
23,253.133787344,0.0,1738359888.8678012,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
24,253.159652021,0.0,1738359888.893693,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
25,253.18969274,0.0,1738359888.9236326,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,1,4000,2,exp2_permuted_src_datasets_WithValidation
