_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.687955923,0.0,1737900368.2276862,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
1,241.017799984,0.0,1737900608.514704,0.8030999994277954,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
2,241.040177361,0.0,1737900608.5798469,,1.2445627450942993,0.862500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
3,241.117859906,0.0,1737900608.6574996,,0.9245063066482544,0.925000011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
4,241.19614643,0.0,1737900608.7358272,,0.3898372948169708,0.925000011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
5,241.275978987,0.0,1737900608.8156235,,0.02628418244421482,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
6,241.358405003,0.0,1737900608.898054,,0.04642708599567413,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
7,241.44039201,0.0,1737900608.9799504,,0.001367349294014275,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
8,241.522970179,0.0,1737900609.0625916,,0.0018436647951602936,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
9,241.608550083,0.0,1737900609.1481159,,0.004766019061207771,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
10,241.694711482,0.0,1737900609.234351,,0.006729760207235813,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
11,241.785526935,0.0,1737900609.3251467,,0.005826421082019806,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
12,241.864586367,0.0,1737900609.4042087,,0.0006828539771959186,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
13,241.952464323,0.0,1737900609.4920235,,0.00883303489536047,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
14,242.042324683,0.0,1737900609.5819492,,0.0001246691681444645,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
15,242.122395272,0.0,1737900609.662036,,0.00014135219680611044,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
16,242.202502289,0.0,1737900609.7420616,,0.023125886917114258,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
17,242.295216791,0.0,1737900609.834864,,0.00020696509454865009,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
18,242.379597696,0.0,1737900609.9192133,,0.000248750759055838,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
19,242.464687127,0.0,1737900610.0043304,,0.00031399744329974055,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
20,242.549374392,0.0,1737900610.0890305,,0.00014264771016314626,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
21,242.629458927,0.0,1737900610.169072,,3.12722877424676e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
22,242.709442778,0.0,1737900610.2490718,,0.0023201315198093653,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
23,242.795547406,0.0,1737900610.3351717,,1.3917230717197526e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
