_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.767886863,2.0,1738882517.5857232,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
1,294.313606457,2.0,1738882805.0917757,0.6844499983787536,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
2,294.313642391,2.0,1738882805.1081157,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
3,294.377361299,2.0,1738882805.1951642,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
4,294.400416565,2.0,1738882805.2182565,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
5,294.420171472,2.0,1738882805.2380354,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
6,294.437798617,2.0,1738882805.2556539,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
7,294.45482323,2.0,1738882805.2726488,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
8,294.473942022,2.0,1738882805.2917888,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
9,294.491852671,2.0,1738882805.3096952,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,omniglot_SOTA_trainvalSet,False,1,4000,5,exp2_permuted_src_datasets_WithValidation
