_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,2.186913501,0.0,1737439225.3365412,,,,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
1,11.366803179,0.0,1737439234.5164175,0.233,,,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
2,11.399866936,0.0,1737439234.5493612,,1.369839072227478,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
3,11.458764034,0.0,1737439234.6074734,,1.356339454650879,0.5,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
4,11.509970191,0.0,1737439234.659298,,1.4508734941482544,0.75,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
5,11.567126501,0.0,1737439234.7164316,,1.5074721574783325,0.5,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
6,11.61753906,0.0,1737439234.766902,,1.5090068578720093,0.375,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
7,11.67404286,0.0,1737439234.8232296,,1.394797444343567,0.6875,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
8,11.726360759,0.0,1737439234.8757586,,1.2728188037872314,0.8125,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
9,11.788696928,0.0,1737439234.9381657,,1.1756523847579956,0.625,0.001,1,16,84x84,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,NO_SRC_DATASET,False,5,4000,2,exp3_no_src_datasets
