_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.408484912,0.0,1738793567.281503,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
1,15.056284636,0.0,1738793575.9293418,0.7115,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
2,15.089734207,0.0,1738793575.9626606,,1.423313021659851,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
3,15.20535262,0.0,1738793576.0782425,,1.3273100852966309,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
4,15.252531451,0.0,1738793576.12545,,1.3072357177734375,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
5,15.299405282,0.0,1738793576.1723378,,1.326842188835144,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
6,15.346631649,0.0,1738793576.219563,,1.2503387928009033,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
7,15.390978572,0.0,1738793576.26391,,1.599279761314392,0.5,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
8,15.443917516,0.0,1738793576.3168464,,1.403639316558838,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
9,15.489063193,0.0,1738793576.3620095,,1.3079205751419067,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
10,15.551073786,0.0,1738793576.4239762,,1.260658860206604,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
11,15.597563887,0.0,1738793576.4705172,,1.2365593910217285,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
12,15.657211686,0.0,1738793576.5301085,,1.4328844547271729,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
13,15.729536373,0.0,1738793576.6024585,,1.2989683151245117,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
14,15.775611483,0.0,1738793576.648521,,1.376957654953003,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
15,15.824693587,0.0,1738793576.6976373,,1.2298400402069092,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
16,15.870722968,0.0,1738793576.7436645,,1.28737473487854,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
17,15.948320167,0.0,1738793576.8212411,,1.1337846517562866,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
18,15.99487635,0.0,1738793576.8677819,,1.0478051900863647,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
19,16.043601722,0.0,1738793576.9165578,,1.2744700908660889,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
20,16.094293829,0.0,1738793576.9672384,,1.053643822669983,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
