_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.195771642,0.0,1738772752.0507762,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
1,1138.373722962,0.0,1738773884.2287586,0.818350001335144,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
2,1138.474606337,0.0,1738773884.3295991,,14.023704528808594,0.8374999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
3,1138.624624161,0.0,1738773884.4795475,,8.292699813842773,0.8374999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
4,1138.743006591,0.0,1738773884.5979567,,2.496917247772217,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
5,1138.857501629,0.0,1738773884.7124135,,1.6086047887802124,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
6,1138.972479886,0.0,1738773884.8273904,,1.2397664785385132,0.925000011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
7,1139.154956831,0.0,1738773885.0098634,,0.0018976504215970635,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
8,1139.289376441,0.0,1738773885.14423,,3.404372910154052e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
9,1139.422990397,0.0,1738773885.2778947,,3.449335781624541e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
10,1139.55671978,0.0,1738773885.4116275,,1.6941472722464823e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
11,1139.659689064,0.0,1738773885.5146403,,5.066298740530328e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
12,1139.756094135,0.0,1738773885.6109712,,1.2562813935801387e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
13,1139.877071905,0.0,1738773885.7319665,,3.730550088221207e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
14,1140.049281287,0.0,1738773885.9041865,,7.480165322704124e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
15,1140.183955249,0.0,1738773886.0388732,,5.2886967750964686e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
16,1140.291782673,0.0,1738773886.146706,,1.7881379932305208e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
17,1140.448746941,0.0,1738773886.303653,,1.93715035123887e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
18,1140.55842382,0.0,1738773886.4133627,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
19,1140.682354458,0.0,1738773886.5372717,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
20,1140.849301689,0.0,1738773886.704261,,4.3361833945709805e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
21,1141.030972628,0.0,1738773886.885914,,5.452198820421472e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
22,1141.141989122,0.0,1738773886.9968002,,6.728852167725563e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
23,1141.290359437,0.0,1738773887.145268,,6.148376996861771e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
24,1141.505125564,0.0,1738773887.359991,,4.6185064093151595e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
25,1141.706267942,0.0,1738773887.5611281,,6.143777682154905e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
26,1141.883737582,0.0,1738773887.7386744,,1.5944195297379338e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
27,1142.065920195,0.0,1738773887.9208386,,1.846117584136664e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
28,1142.23346975,0.0,1738773888.0883663,,6.988456675571797e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
29,1142.369299447,0.0,1738773888.2242432,,4.827916768590512e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
30,1142.544003852,0.0,1738773888.3989022,,1.0936979606412933e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
31,1142.711570927,0.0,1738773888.5664537,,2.6822069898457812e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
32,1142.874057498,0.0,1738773888.728923,,5.289800242280762e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
33,1143.009742784,0.0,1738773888.8645775,,1.817933537040517e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
34,1143.215720203,0.0,1738773889.0704844,,2.568829359006486e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
35,1143.325821671,0.0,1738773889.1806784,,2.162087639590027e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
36,1143.417735465,0.0,1738773889.2726455,,0.0022883741185069084,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
37,1143.569775481,0.0,1738773889.4246812,,1.6093197530153702e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
38,1143.725024218,0.0,1738773889.5799317,,5.498408768289664e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
39,1143.855512189,0.0,1738773889.7104163,,2.091987198582501e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
40,1144.048221693,0.0,1738773889.903051,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
41,1144.280838396,0.0,1738773890.1356566,,1.3693480696019833e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
42,1144.492962691,0.0,1738773890.347889,,4.463592176762177e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
43,1144.661739064,0.0,1738773890.5167122,,1.698685309747816e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
44,1144.883181391,0.0,1738773890.738092,,3.915885099559091e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
45,1144.978628825,0.0,1738773890.8335311,,0.00028619039221666753,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
46,1145.196194675,0.0,1738773891.051113,,4.5746128307655454e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
47,1145.363287641,0.0,1738773891.218188,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
48,1145.532393721,0.0,1738773891.3872936,,5.54355119675165e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
49,1145.681783666,0.0,1738773891.536701,,1.95204577835284e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
50,1145.804817259,0.0,1738773891.659723,,1.937149818331818e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
51,1145.95499801,0.0,1738773891.8098965,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
52,1146.104196876,0.0,1738773891.9591386,,1.9371464077266864e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
53,1146.262841988,0.0,1738773892.1177561,,6.407482544545928e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
54,1146.36721619,0.0,1738773892.2221751,,3.5762734995614665e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
55,1146.49086459,0.0,1738773892.34579,,3.427265227173848e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
