_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name,ft_eval_num,tr_eval_acc_src_data,before_ft_eval_acc,before_ft_eval_loss,CLUSTERING,M-labels-SRC
,516.929394859,0.0,1741310123.0633686,,,,,,0.2758499993383884,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,0.0,,0.2780499991178513,,,
,790.001871912,0.0,1741310396.1358533,,,,,,0.2787999997138977,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,1.0,,0.2780499991178513,,,
,1044.497144716,0.0,1741310650.591418,,,,,,0.275949999332428,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,2.0,,0.2780499991178513,,,
,1582.217200988,1.0,1741311188.3114817,,,,,,0.2710499985814094,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,0.0,,0.2796999999880791,,,
,1826.988440303,1.0,1741311433.122389,,,,,,0.2774999999403953,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,1.0,,0.2796999999880791,,,
,2081.065237761,1.0,1741311687.158199,,,,,,0.2638999987840652,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,2.0,,0.2796999999880791,,,
,2556.543751417,2.0,1741312162.677732,,,,,,0.2732999991774559,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,0.0,,0.2854499995708465,,,
,2808.68697846,2.0,1741312414.8209264,,,,,,0.2782499985694885,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,1.0,,0.2854499995708465,,,
,3062.337248324,2.0,1741312668.429083,,,,,,0.2708499988913536,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,2.0,,0.2854499995708465,,,
,3602.697171243,3.0,1741313208.7894428,,,,,,0.2852499987483025,,1.0,0.001,1.0,16,84x84,PrototypicalNetwork,5,5,miniImageNet_SOTA_trainSet,b-59-850,False,1,4000,5,exp1_permuted_src_datasets,0.0,,0.2771499988436698,,,
