_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name,ft_eval_num,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,tr_eval_acc
1,461.862581276,0.0,1735320406.3302126,0.816300000667572,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,0.0,,,,,,
64,923.314572041,0.0,1735320867.7862077,0.8715499985218048,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,1.0,,,,,,
127,1387.562114992,0.0,1735321332.0729573,0.8751000003814697,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,2.0,,,,,,
190,1849.465539064,0.0,1735321793.9764562,0.87475,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,3.0,,,,,,
253,2309.957905485,0.0,1735322254.4688847,0.8778000001907349,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,4.0,,,,,,
316,2768.904230835,0.0,1735322713.4151442,0.8772999987602234,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,5.0,,,,,,
379,3223.970607954,0.0,1735323168.4413495,0.87975,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,6.0,,,,,,
442,3687.210430938,0.0,1735323631.7214136,0.8752500002384186,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,7.0,,,,,,
505,4152.906589311,0.0,1735324097.3725786,0.8755999994277954,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,8.0,,,,,,
568,4619.965081892,0.0,1735324564.4760203,0.8753000001907348,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,b-59-850,TKH,False,5,4000,2,exp2_permuted_src_datasets_WithValidation,9.0,,,,,,
