_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name,ft_eval_num,tr_eval_acc_src_data,before_ft_eval_acc,before_ft_eval_loss,CLUSTERING,M-labels-SRC
,155.840595008,0.0,1742059127.873938,,,,,,0.79225,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,0.0,,0.71925,,,
,166.31471936,0.0,1742059138.348057,,,,,,0.78675,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,1.0,,0.71925,,,
,176.606978899,0.0,1742059148.6403282,,,,,,0.79275,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,2.0,,0.71925,,,
,187.064349459,0.0,1742059159.0976982,,,,,,0.79225,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,3.0,,0.71925,,,
,197.663124931,0.0,1742059169.6964662,,,,,,0.8035,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,4.0,,0.71925,,,
,208.038055441,0.0,1742059180.0712328,,,,,,0.803,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,5.0,,0.71925,,,
,218.409317975,0.0,1742059190.4426496,,,,,,0.811,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,6.0,,0.71925,,,
,228.727483064,0.0,1742059200.7607913,,,,,,0.8155,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,7.0,,0.71925,,,
,239.105981079,0.0,1742059211.139321,,,,,,0.80825,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,8.0,,0.71925,,,
,249.266233496,0.0,1742059221.299585,,,,,,0.8035,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,9.0,,0.71925,,,
,259.600316563,0.0,1742059231.633664,,,,,,0.80475,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,10.0,,0.71925,,,
,270.593819083,0.0,1742059242.5842333,,,,,,0.79825,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,11.0,,0.71925,,,
,281.006155348,0.0,1742059253.0395112,,,,,,0.80775,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,12.0,,0.71925,,,
,291.325854957,0.0,1742059263.3591883,,,,,,0.8135,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,13.0,,0.71925,,,
,301.746139778,0.0,1742059273.7794683,,,,,,0.80625,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,14.0,,0.71925,,,
,454.163051216,1.0,1742059426.1963947,,,,,,0.7585,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,0.0,,0.74675,,,
,464.527147613,1.0,1742059436.5604715,,,,,,0.786,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,1.0,,0.74675,,,
,475.721138126,1.0,1742059447.7544725,,,,,,0.789,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,2.0,,0.74675,,,
,486.065402324,1.0,1742059458.0987532,,,,,,0.80125,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,3.0,,0.74675,,,
,496.348143895,1.0,1742059468.3814688,,,,,,0.7925,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,4.0,,0.74675,,,
,506.69838413,1.0,1742059478.7317393,,,,,,0.78475,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,5.0,,0.74675,,,
,516.932393352,1.0,1742059488.96574,,,,,,0.792,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,6.0,,0.74675,,,
,527.432590644,1.0,1742059499.465935,,,,,,0.8005,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,7.0,,0.74675,,,
,537.793184925,1.0,1742059509.8265257,,,,,,0.80525,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,8.0,,0.74675,,,
,548.124693724,1.0,1742059520.1580338,,,,,,0.795,,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,5,4000,5,exp3_no_src_datasets,9.0,,0.74675,,,
