_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name,ft_eval_num,tr_eval_acc_src_data,before_ft_eval_acc,before_ft_eval_loss,CLUSTERING,M-labels-SRC
,18.264178047,0.0,1743448724.5014644,,,,,,0.731,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,0.0,,0.75675,,,
,21.400402966,0.0,1743448727.6376865,,,,,,0.744,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,1.0,,0.75675,,,
,24.538481313,0.0,1743448730.775761,,,,,,0.7475,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,2.0,,0.75675,,,
,41.170379234,1.0,1743448747.4076607,,,,,,0.676,,0.9375,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,0.0,,0.7215,,,
,44.345733341,1.0,1743448750.583022,,,,,,0.687,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,1.0,,0.7215,,,
,47.518586902,1.0,1743448753.7558482,,,,,,0.68375,,0.9375,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,2.0,,0.7215,,,
,64.579144877,2.0,1743448770.8164463,,,,,,0.745,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,0.0,,0.7775,,,
,67.677351048,2.0,1743448773.9146404,,,,,,0.7435,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,1.0,,0.7775,,,
,70.772769481,2.0,1743448777.0100632,,,,,,0.733,,0.9375,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,2.0,,0.7775,,,
,87.994412323,3.0,1743448794.231711,,,,,,0.71275,,1.0,0.001,1.0,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,1,4000,5,exp4_same_dataset,0.0,,0.73125,,,
