_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,6.683679819107056,0.0,1735319763.6580808,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
1,9.833578824996948,0.0,1735319766.8079798,0.57025,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
2,9.842259168624878,0.0,1735319766.8166602,,1.3754507303237915,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
3,9.851669073104858,0.0,1735319766.82607,,1.3757445812225342,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
4,9.86069941520691,0.0,1735319766.8351004,,1.376451015472412,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
5,9.86961579322815,0.0,1735319766.8440168,,1.3725680112838745,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
6,9.87852931022644,0.0,1735319766.8529303,,1.3722212314605713,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
7,9.887441396713257,0.0,1735319766.8618424,,1.371490240097046,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
8,9.896343231201172,0.0,1735319766.8707442,,1.3783339262008667,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
9,9.905254602432251,0.0,1735319766.8796556,,1.373487114906311,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
10,9.91417145729065,0.0,1735319766.8885725,,1.3700859546661377,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
11,9.923031568527222,0.0,1735319766.8974326,,1.3691242933273315,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
12,9.932032585144043,0.0,1735319766.9064336,,1.37382972240448,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
13,9.941070079803467,0.0,1735319766.915471,,1.3737679719924927,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
14,9.950888633728027,0.0,1735319766.9252896,,1.4295766353607178,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
15,9.959927082061768,0.0,1735319766.934328,,1.3705475330352783,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
16,9.968807220458984,0.0,1735319766.9432082,,1.432275652885437,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
17,9.977763175964355,0.0,1735319766.9521642,,1.3703508377075195,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
18,9.986879825592041,0.0,1735319766.9612808,,1.3771497011184692,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
19,9.995883703231812,0.0,1735319766.9702847,,1.3738222122192383,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
20,10.004823684692383,0.0,1735319766.9792247,,1.372036337852478,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
21,10.016247749328613,0.0,1735319766.9906487,,1.3690088987350464,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
22,10.02526307106018,0.0,1735319766.999664,,1.4296141862869263,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
23,10.035386800765991,0.0,1735319767.0097878,,1.3726121187210083,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
24,10.044790267944336,0.0,1735319767.0191913,,1.3705776929855347,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
25,10.054633617401123,0.0,1735319767.0290346,,1.3740482330322266,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
26,10.063754796981812,0.0,1735319767.0381558,,1.3718698024749756,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
27,10.072767734527588,0.0,1735319767.0471687,,1.429452657699585,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
28,10.08178186416626,0.0,1735319767.0561829,,1.3726105690002441,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
29,10.09116506576538,0.0,1735319767.065566,,1.4278367757797241,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
30,10.10023832321167,0.0,1735319767.0746393,,1.3716528415679932,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
31,10.10922646522522,0.0,1735319767.0836275,,1.3716520071029663,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
32,10.118216514587402,0.0,1735319767.0926175,,1.4286103248596191,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
33,10.127189874649048,0.0,1735319767.1015909,,1.372437834739685,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
34,10.13721227645874,0.0,1735319767.1116133,,1.3702384233474731,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
35,10.146464347839355,0.0,1735319767.1208653,,1.3689022064208984,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
36,10.15553593635559,0.0,1735319767.129937,,1.3716610670089722,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
37,10.164732933044434,0.0,1735319767.139134,,1.3722267150878906,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
38,10.173733949661255,0.0,1735319767.148135,,1.368692398071289,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
39,10.182634115219116,0.0,1735319767.157035,,1.3693559169769287,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
40,10.192277669906616,0.0,1735319767.1666787,,1.3689942359924316,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
41,10.20130705833435,0.0,1735319767.175708,,1.3695927858352661,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
42,10.210336685180664,0.0,1735319767.1847377,,1.3722059726715088,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
43,10.221542119979858,0.0,1735319767.195943,,1.3708486557006836,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
44,10.230488538742065,0.0,1735319767.2048895,,1.3754819631576538,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
45,10.2394540309906,0.0,1735319767.213855,,1.369632601737976,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
46,10.2485032081604,0.0,1735319767.2229042,,1.3725776672363281,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
47,10.26233458518982,0.0,1735319767.2367356,,1.3693428039550781,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
48,10.276620864868164,0.0,1735319767.2510219,,1.3721444606781006,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
49,10.28631043434143,0.0,1735319767.2607114,,1.3725776672363281,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
50,10.295427560806274,0.0,1735319767.2698286,,1.3694626092910767,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
51,10.304303884506226,0.0,1735319767.278705,,1.3715970516204834,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
52,10.313186407089233,0.0,1735319767.2875874,,1.4328641891479492,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
53,10.322049379348755,0.0,1735319767.2964504,,1.372882604598999,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
54,10.330918788909912,0.0,1735319767.3053198,,1.3693476915359497,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
55,10.33982229232788,0.0,1735319767.3142233,,1.3695801496505737,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
56,10.348726749420166,0.0,1735319767.3231277,,1.3733869791030884,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
57,10.357638597488403,0.0,1735319767.3320396,,1.37007474899292,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
58,10.366505146026611,0.0,1735319767.3409061,,1.3721245527267456,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
59,10.375401020050049,0.0,1735319767.349802,,1.375280499458313,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
60,10.384321451187134,0.0,1735319767.3587224,,1.3752115964889526,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
61,10.393200159072876,0.0,1735319767.3676012,,1.3695480823516846,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
62,10.402042150497437,0.0,1735319767.3764431,,1.3757635354995728,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
63,10.410974502563477,0.0,1735319767.3853755,,1.3724077939987183,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
64,13.49302077293396,0.0,1735319770.4674218,0.594,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
65,13.53064250946045,0.0,1735319770.5050435,,1.3688560724258423,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
66,13.54545521736145,0.0,1735319770.5198562,,1.3688687086105347,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
67,13.554638862609863,0.0,1735319770.5290399,,1.3724128007888794,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
68,13.563578605651855,0.0,1735319770.5379796,,1.3737995624542236,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
69,13.572565078735352,0.0,1735319770.546966,,1.4292030334472656,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
70,13.581505537033081,0.0,1735319770.5559065,,1.3689671754837036,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
71,13.590429067611694,0.0,1735319770.56483,,1.3717018365859985,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
72,13.599570035934448,0.0,1735319770.573971,,1.3702645301818848,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
73,13.608638763427734,0.0,1735319770.5830398,,1.4286935329437256,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,TKH,False,1,4000,2,exp1_permuted_src_datasets
