_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.789241313934326,0.0,1735232831.2791872,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
1,19.484485626220703,0.0,1735232841.9744315,0.86825,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
2,19.50374698638916,0.0,1735232841.9936929,,0.8595324754714966,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
3,19.534146547317505,0.0,1735232842.0240924,,0.8721591234207153,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
4,19.559248685836792,0.0,1735232842.0491946,,0.7709557414054871,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
5,19.58579397201538,0.0,1735232842.0757399,,0.8649516701698303,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
6,19.612252235412598,0.0,1735232842.1021981,,0.872090756893158,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
7,19.638998985290527,0.0,1735232842.1289449,,0.7635846138000488,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
8,19.664809226989746,0.0,1735232842.154755,,0.8116387724876404,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
9,19.690661191940308,0.0,1735232842.180607,,0.8499463796615601,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
10,19.71673321723938,0.0,1735232842.206679,,0.8089168667793274,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
11,19.74246907234192,0.0,1735232842.232415,,0.708448052406311,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
12,19.76886224746704,0.0,1735232842.2588081,,0.7730147838592529,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
13,19.79510521888733,0.0,1735232842.285051,,0.7502706050872803,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
14,19.82049250602722,0.0,1735232842.3104384,,0.7176569700241089,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
15,19.845875024795532,0.0,1735232842.335821,,0.7878299355506897,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
16,19.871153116226196,0.0,1735232842.361099,,0.8028095960617065,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
17,19.896317720413208,0.0,1735232842.3862636,,0.7462290525436401,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
18,19.92155933380127,0.0,1735232842.4115052,,0.8123733401298523,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
19,19.94691514968872,0.0,1735232842.436861,,0.7086517214775085,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
20,19.972147464752197,0.0,1735232842.4620934,,0.7644915580749512,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
21,19.997323989868164,0.0,1735232842.4872699,,0.7577615976333618,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
22,20.022354125976562,0.0,1735232842.5123,,0.7453287243843079,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
23,20.047232389450073,0.0,1735232842.5371783,,0.7857231497764587,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
24,20.073406219482422,0.0,1735232842.563352,,0.7707635164260864,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
25,20.0992591381073,0.0,1735232842.589205,,0.7499864101409912,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
26,20.126569747924805,0.0,1735232842.6165156,,0.801842987537384,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
27,20.153411865234375,0.0,1735232842.6433578,,0.6801923513412476,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
28,20.17936396598816,0.0,1735232842.6693099,,0.7229236364364624,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
29,20.20450258255005,0.0,1735232842.6944485,,0.7117161154747009,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
30,20.231083393096924,0.0,1735232842.7210293,,0.7187895178794861,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
31,20.255752325057983,0.0,1735232842.7456982,,0.7962440252304077,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
32,20.280717849731445,0.0,1735232842.7706637,,0.7731422185897827,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
33,20.306174755096436,0.0,1735232842.7961206,,0.7232717275619507,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
34,20.3312885761261,0.0,1735232842.8212345,,0.7315341830253601,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
35,20.356343030929565,0.0,1735232842.846289,,0.7257171869277954,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
36,20.382336378097534,0.0,1735232842.8722823,,0.7470964789390564,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
37,20.40794610977173,0.0,1735232842.897892,,0.7328910827636719,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
38,20.434298992156982,0.0,1735232842.9242449,,0.770713746547699,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
