_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.703685283660889,0.0,1735207270.6912394,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
1,1150.2270967960358,0.0,1735208412.2146509,0.9127000000476837,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
2,1150.2631969451904,0.0,1735208412.250751,,6.524861964862794e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
3,1150.304354429245,0.0,1735208412.2919085,,1.1473805443529272e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
4,1150.3421802520752,0.0,1735208412.3297343,,3.412328908325435e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
5,1150.3907401561737,0.0,1735208412.3782942,,1.847738673177446e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
6,1150.4299356937408,0.0,1735208412.4174898,,3.5762766970037774e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
7,1150.4684674739838,0.0,1735208412.4560215,,1.192092646817855e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
8,1150.505026102066,0.0,1735208412.4925802,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
9,1150.5420179367065,0.0,1735208412.529572,,2.9802318390892424e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
10,1150.5794174671173,0.0,1735208412.5669715,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
11,1150.617261171341,0.0,1735208412.6048152,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
12,1150.6656925678253,0.0,1735208412.6532466,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
