_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,44.19935989379883,0.0,1735170685.59298,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
1,1365.4165034294128,0.0,1735172006.8101234,0.933,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
2,1365.4852275848389,0.0,1735172006.8788476,,1.2756386240653228e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
3,1365.565269947052,0.0,1735172006.95889,,4.9484406190458685e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
4,1365.646446943283,0.0,1735172007.040067,,3.129240440102876e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
5,1365.7272334098816,0.0,1735172007.1208534,,1.713631263555726e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
6,1365.8146212100983,0.0,1735172007.2082412,,8.04662079190166e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
7,1365.8968601226807,0.0,1735172007.2904801,,1.0430811769879256e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
8,1365.9784157276154,0.0,1735172007.3720357,,3.2782537573439186e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
9,1366.0571777820587,0.0,1735172007.4507978,,3.129242287513989e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
10,1366.1398091316223,0.0,1735172007.5334291,,2.0861616434331154e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
11,1366.2220361232758,0.0,1735172007.6156561,,1.192092646817855e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
12,1366.3129613399506,0.0,1735172007.7065814,,2.9802318390892424e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
13,1366.3949224948883,0.0,1735172007.7885425,,4.470348091700771e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
14,1366.4779906272888,0.0,1735172007.8716106,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
15,1366.560789346695,0.0,1735172007.9544094,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
16,1366.6406943798065,0.0,1735172008.0343144,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
17,1366.73508477211,0.0,1735172008.1287048,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
18,1366.8159217834473,0.0,1735172008.2095418,,4.470348091700771e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
19,1366.8975327014923,0.0,1735172008.2911527,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
20,1366.9776074886322,0.0,1735172008.3712275,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
21,1367.0570137500763,0.0,1735172008.4506338,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
22,1367.1368465423584,0.0,1735172008.5304666,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
23,1367.2150123119354,0.0,1735172008.6086323,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
24,1367.2949929237366,0.0,1735172008.688613,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
25,1367.3732964992523,0.0,1735172008.7669165,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
26,1367.4593176841736,0.0,1735172008.8529377,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
27,1367.5434865951538,0.0,1735172008.9371066,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
28,1367.625346660614,0.0,1735172009.0189667,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
29,1367.705310344696,0.0,1735172009.0989304,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
30,1367.7911760807037,0.0,1735172009.184796,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
31,1367.8788764476776,0.0,1735172009.2724965,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
32,1367.9625158309937,0.0,1735172009.3561358,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
33,1368.0421221256256,0.0,1735172009.4357421,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
34,1368.1226344108582,0.0,1735172009.5162544,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
35,1368.2014198303223,0.0,1735172009.5950398,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
36,1368.2818756103516,0.0,1735172009.6754956,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
37,1368.3628602027893,0.0,1735172009.7564802,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
38,1368.443393945694,0.0,1735172009.837014,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
39,1368.5234763622284,0.0,1735172009.9170964,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
40,1368.6064505577087,0.0,1735172010.0000706,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
41,1368.68825340271,0.0,1735172010.0818734,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
42,1368.77481174469,0.0,1735172010.1684318,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
43,1368.8580021858215,0.0,1735172010.2516222,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
44,1368.9402112960815,0.0,1735172010.3338313,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
45,1369.020833492279,0.0,1735172010.4144535,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
46,1369.110255241394,0.0,1735172010.5038753,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
47,1369.1908807754517,0.0,1735172010.5845008,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
48,1369.2802517414093,0.0,1735172010.6738718,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
49,1369.3605971336365,0.0,1735172010.7542171,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
50,1369.4403448104858,0.0,1735172010.8339648,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
51,1369.519196510315,0.0,1735172010.9128165,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
52,1369.6023485660553,0.0,1735172010.9959686,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
53,1369.683090209961,0.0,1735172011.0767102,,2.9802318390892424e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
54,1369.7611241340637,0.0,1735172011.1547441,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
55,1369.843082666397,0.0,1735172011.2367027,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
56,1369.9209420681,0.0,1735172011.314562,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
57,1370.000307559967,0.0,1735172011.3939276,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
58,1370.0814228057861,0.0,1735172011.4750428,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
59,1370.1622638702393,0.0,1735172011.555884,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
