_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,40.79642200469971,0.0,1735170207.306842,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
1,57.701500415802,0.0,1735170224.2119205,0.83525,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
2,57.718801736831665,0.0,1735170224.2292218,,1.0177600383758545,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
3,57.74483680725098,0.0,1735170224.255257,,1.0023467540740967,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
4,57.772974491119385,0.0,1735170224.2833946,,0.9592892527580261,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
5,57.79922389984131,0.0,1735170224.309644,,0.9943157434463501,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
6,57.824689626693726,0.0,1735170224.3351097,,0.9512922763824463,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
7,57.85185217857361,0.0,1735170224.3622723,,0.9093101024627686,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
8,57.87938141822815,0.0,1735170224.3898015,,0.9415943622589111,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
9,57.90596914291382,0.0,1735170224.4163892,,0.9233328104019165,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
10,57.93194055557251,0.0,1735170224.4423606,,0.9992649555206299,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
11,57.959184408187866,0.0,1735170224.4696045,,0.8780441880226135,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp1_permuted_src_datasets
