_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,7.148313045501709,0.0,1735149506.732023,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
1,14.660659551620483,0.0,1735149514.2443695,0.81825,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
2,14.69062876701355,0.0,1735149514.2743387,,0.5437087416648865,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
3,14.735678434371948,0.0,1735149514.3193884,,0.5578696727752686,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
4,14.786841630935669,0.0,1735149514.3705516,,0.466535359621048,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
5,14.833534717559814,0.0,1735149514.4172447,,0.4586527943611145,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
6,14.88348913192749,0.0,1735149514.467199,,0.39924103021621704,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
7,14.934404611587524,0.0,1735149514.5181146,,0.527298629283905,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
8,14.980947494506836,0.0,1735149514.5646574,,0.46286100149154663,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
9,15.033813953399658,0.0,1735149514.617524,,0.5653718113899231,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
10,15.08617639541626,0.0,1735149514.6698864,,0.4964112639427185,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
11,15.131224870681763,0.0,1735149514.7149348,,0.3988155424594879,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
12,15.195761680603027,0.0,1735149514.7794716,,0.37722718715667725,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
13,15.241731882095337,0.0,1735149514.8254418,,0.39909911155700684,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
14,15.308254957199097,0.0,1735149514.891965,,0.4500466585159302,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
15,15.359573602676392,0.0,1735149514.9432836,,0.44360706210136414,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
16,15.40391731262207,0.0,1735149514.9876273,,0.38731876015663147,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
17,15.45323371887207,0.0,1735149515.0369437,,0.3930594027042389,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
18,15.49761962890625,0.0,1735149515.0813296,,0.6145756840705872,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
19,15.548633575439453,0.0,1735149515.1323435,,0.45474377274513245,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
20,15.593257427215576,0.0,1735149515.1769674,,0.44357582926750183,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
21,15.641344547271729,0.0,1735149515.2250545,,0.4151696264743805,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
22,15.689396619796753,0.0,1735149515.2731066,,0.4157572090625763,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
23,15.733876943588257,0.0,1735149515.317587,,0.3710900843143463,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
24,15.786398887634277,0.0,1735149515.3701088,,0.4523957371711731,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
25,15.833170413970947,0.0,1735149515.4168804,,0.4547888934612274,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
26,15.883570194244385,0.0,1735149515.4672801,,0.3769969344139099,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
27,15.928811073303223,0.0,1735149515.512521,,0.45295917987823486,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
28,15.975982427597046,0.0,1735149515.5596924,,0.43120473623275757,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
29,16.0275559425354,0.0,1735149515.611266,,0.4236171245574951,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
30,16.07319688796997,0.0,1735149515.6569068,,0.3808293342590332,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
31,16.123122692108154,0.0,1735149515.7068326,,0.4996139109134674,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
32,16.1703462600708,0.0,1735149515.7540562,,0.40260371565818787,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
33,16.218888998031616,0.0,1735149515.802599,,0.44747698307037354,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
34,16.26950740814209,0.0,1735149515.8532174,,0.2799522578716278,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
35,16.319607496261597,0.0,1735149515.9033175,,0.46106091141700745,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
36,16.367067575454712,0.0,1735149515.9507775,,0.5266781449317932,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
37,16.416213989257812,0.0,1735149515.999924,,0.3559948801994324,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
38,16.46905827522278,0.0,1735149516.0527682,,0.3458031415939331,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
39,16.514071702957153,0.0,1735149516.0977817,,0.5013384222984314,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
40,16.568305730819702,0.0,1735149516.1520157,,0.3001183867454529,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
41,16.612637519836426,0.0,1735149516.1963475,,0.3630368411540985,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
42,16.663856029510498,0.0,1735149516.247566,,0.467762291431427,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
43,16.707541942596436,0.0,1735149516.291252,,0.43593069911003113,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
44,16.756151914596558,0.0,1735149516.3398619,,0.32201483845710754,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
45,16.804134607315063,0.0,1735149516.3878446,,0.3509410321712494,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
46,16.85096502304077,0.0,1735149516.434675,,0.2816152274608612,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
47,16.901544094085693,0.0,1735149516.485254,,0.29738208651542664,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
48,16.94612741470337,0.0,1735149516.5298374,,0.3904187083244324,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
49,17.00201654434204,0.0,1735149516.5857265,,0.540788471698761,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
50,17.061151027679443,0.0,1735149516.644861,,0.2830564081668854,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
51,17.12066650390625,0.0,1735149516.7043765,,0.38229382038116455,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
52,17.180692672729492,0.0,1735149516.7644026,,0.29169929027557373,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
53,17.243465423583984,0.0,1735149516.8271754,,0.36211293935775757,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
54,17.3039231300354,0.0,1735149516.887633,,0.34912872314453125,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
55,17.36572766304016,0.0,1735149516.9494376,,0.35383614897727966,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
56,17.428194999694824,0.0,1735149517.011905,,0.31445711851119995,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
57,17.48842167854309,0.0,1735149517.0721316,,0.38161733746528625,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
58,17.55270528793335,0.0,1735149517.1364152,,0.3278927206993103,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
59,17.618345737457275,0.0,1735149517.2020557,,0.25324076414108276,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
60,17.678455352783203,0.0,1735149517.2621653,,0.35103002190589905,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
61,17.742704391479492,0.0,1735149517.3264143,,0.29450365900993347,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
62,17.805636882781982,0.0,1735149517.3893468,,0.3736492693424225,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
63,17.866438627243042,0.0,1735149517.4501486,,0.37190890312194824,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
64,25.487752676010132,0.0,1735149525.0714626,0.8425,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
65,25.518004179000854,0.0,1735149525.1017141,,0.32755419611930847,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
66,25.563408851623535,0.0,1735149525.1471188,,0.3624840974807739,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
67,25.614253997802734,0.0,1735149525.197964,,0.3505319654941559,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
68,25.66840696334839,0.0,1735149525.252117,,0.29845356941223145,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
69,25.717970848083496,0.0,1735149525.3016808,,0.2985788881778717,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
70,25.76648783683777,0.0,1735149525.3501978,,0.30757957696914673,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
71,25.81474542617798,0.0,1735149525.3984554,,0.2891097366809845,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
72,25.86082100868225,0.0,1735149525.444531,,0.29674240946769714,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
73,25.911680936813354,0.0,1735149525.495391,,0.3424553871154785,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
74,25.956862449645996,0.0,1735149525.5405724,,0.33911383152008057,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
75,26.006889820098877,0.0,1735149525.5905998,,0.28399890661239624,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
76,26.05543303489685,0.0,1735149525.639143,,0.32535675168037415,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
77,26.10066533088684,0.0,1735149525.6843753,,0.294851690530777,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
78,26.150723218917847,0.0,1735149525.7344332,,0.3043130338191986,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
79,26.196470260620117,0.0,1735149525.7801802,,0.2746802568435669,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
80,26.24783182144165,0.0,1735149525.8315418,,0.26273560523986816,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
81,26.293701171875,0.0,1735149525.8774111,,0.3011441230773926,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
82,26.34169316291809,0.0,1735149525.925403,,0.35968565940856934,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
83,26.393697500228882,0.0,1735149525.9774075,,0.30916622281074524,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
84,26.441176176071167,0.0,1735149526.0248861,,0.4567900598049164,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
85,26.489442348480225,0.0,1735149526.0731523,,0.3683566749095917,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
86,26.548115491867065,0.0,1735149526.1318254,,0.294573575258255,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
87,26.59336519241333,0.0,1735149526.1770751,,0.36573702096939087,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,Egyptian,False,10,4000,2,exp1_permuted_src_datasets
