_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,2.7073004245758057,0.0,1735724128.2907665,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
1,8.279842853546143,0.0,1735724133.863309,0.81625,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
2,8.310015439987183,0.0,1735724133.8934815,,0.7452414035797119,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
3,8.354849100112915,0.0,1735724133.9383152,,0.7225576043128967,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
4,8.399666547775269,0.0,1735724133.9831326,,0.7398627400398254,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
5,8.44507122039795,0.0,1735724134.0285373,,0.7085886001586914,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
6,8.490585803985596,0.0,1735724134.0740519,,0.7246559262275696,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
7,8.53560757637024,0.0,1735724134.1190736,,0.5525429844856262,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
8,8.579322576522827,0.0,1735724134.1627886,,0.5756528377532959,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
9,8.62371277809143,0.0,1735724134.2071788,,0.6427077054977417,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
10,8.667456150054932,0.0,1735724134.2509222,,0.6949543952941895,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
11,8.710068941116333,0.0,1735724134.293535,,0.546837329864502,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
12,8.754129648208618,0.0,1735724134.3375957,,0.6138142943382263,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
13,8.798205375671387,0.0,1735724134.3816714,,0.6256363391876221,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
14,8.843645095825195,0.0,1735724134.4271111,,0.6741189956665039,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
15,8.887497425079346,0.0,1735724134.4709635,,0.5690001845359802,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
16,8.931634187698364,0.0,1735724134.5151002,,0.6065781116485596,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
17,8.977166175842285,0.0,1735724134.5606322,,0.6304972171783447,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
18,9.021737813949585,0.0,1735724134.6052039,,0.3867318332195282,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
19,9.06570029258728,0.0,1735724134.6491663,,0.5887446999549866,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
20,9.109887838363647,0.0,1735724134.693354,,0.5614110231399536,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
21,9.15401005744934,0.0,1735724134.737476,,0.541032612323761,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
22,9.197368621826172,0.0,1735724134.7808347,,0.5161516666412354,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
23,9.241504192352295,0.0,1735724134.8249702,,0.5532039999961853,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
24,9.285938024520874,0.0,1735724134.869404,,0.5316779017448425,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
25,9.330524682998657,0.0,1735724134.9139907,,0.7196686267852783,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
26,9.3769371509552,0.0,1735724134.9604032,,0.4209078848361969,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
27,9.421754360198975,0.0,1735724135.0052204,,0.4442651569843292,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
28,9.466829299926758,0.0,1735724135.0502954,,0.6083039045333862,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
29,9.511651754379272,0.0,1735724135.0951178,,0.40071406960487366,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
30,9.557440280914307,0.0,1735724135.1409063,,0.40701547265052795,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
31,9.602123975753784,0.0,1735724135.18559,,0.43461090326309204,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
32,9.645613193511963,0.0,1735724135.2290792,,0.47017475962638855,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
33,9.689174890518188,0.0,1735724135.272641,,0.5244888067245483,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
34,9.733235836029053,0.0,1735724135.316702,,0.4537406265735626,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
35,9.776646137237549,0.0,1735724135.3601122,,0.42306220531463623,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
36,9.820521116256714,0.0,1735724135.4039872,,0.46938881278038025,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
37,9.862862825393677,0.0,1735724135.4463289,,0.5046910047531128,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
38,9.9068922996521,0.0,1735724135.4903584,,0.480869859457016,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
39,9.950965642929077,0.0,1735724135.5344317,,0.605065643787384,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
40,9.995273113250732,0.0,1735724135.5787392,,0.3956320881843567,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
41,10.039167642593384,0.0,1735724135.6226337,,0.40760767459869385,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
42,10.090394496917725,0.0,1735724135.6738605,,0.514379620552063,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
43,10.133505582809448,0.0,1735724135.7169716,,0.36466312408447266,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
44,10.176418542861938,0.0,1735724135.7598846,,0.44909778237342834,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
45,10.220231056213379,0.0,1735724135.803697,,0.466962993144989,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
46,10.262677192687988,0.0,1735724135.8461432,,0.4776429533958435,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
47,10.306849956512451,0.0,1735724135.890316,,0.5043599009513855,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
48,10.350889205932617,0.0,1735724135.9343553,,0.4438703954219818,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
49,10.396786212921143,0.0,1735724135.9802523,,0.3570326268672943,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
50,10.440162420272827,0.0,1735724136.0236285,,0.3623168468475342,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
51,10.483964443206787,0.0,1735724136.0674305,,0.40486496686935425,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
52,10.527608394622803,0.0,1735724136.1110744,,0.41906189918518066,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
53,10.580086708068848,0.0,1735724136.1635528,,0.36092695593833923,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
54,10.626718759536743,0.0,1735724136.2101848,,0.4713456630706787,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
55,10.672726392745972,0.0,1735724136.2561924,,0.4659276604652405,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
56,10.71615481376648,0.0,1735724136.2996209,,0.35390153527259827,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
57,10.760923862457275,0.0,1735724136.34439,,0.41770443320274353,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
58,10.80606460571289,0.0,1735724136.3895307,,0.44635307788848877,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
59,10.851679563522339,0.0,1735724136.4351456,,0.42453283071517944,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
60,10.895312786102295,0.0,1735724136.4787788,,0.40199968218803406,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
61,10.940094232559204,0.0,1735724136.5235603,,0.37509241700172424,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
62,10.984671354293823,0.0,1735724136.5681374,,0.43530821800231934,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
63,11.028905630111694,0.0,1735724136.6123717,,0.5274105072021484,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
64,16.57626986503601,0.0,1735724142.159736,0.8775,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,Greek,False,10,4000,2,exp1_permuted_src_datasets
