_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,83.52899146080017,0.0,1735987719.3356113,,,,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
1,83.61024212837219,0.0,1735987719.416862,0.0,,,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
2,85.33938336372375,0.0,1735987721.1460032,,1.5247281789779663,0.5,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
3,85.33954787254333,0.0,1735987721.1461678,,,,0.001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
4,93.42161774635315,0.0,1735987729.2282376,,,,,0.833,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
5,94.87734317779541,0.0,1735987730.683963,,1.3784974813461304,0.5625,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
6,94.87753343582153,0.0,1735987730.6841533,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
7,102.96707963943481,0.0,1735987738.7736995,,,,,0.84625,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
8,104.06400799751282,0.0,1735987739.8706279,,1.3977172374725342,0.6875,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
9,104.06420540809631,0.0,1735987739.8708253,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
10,112.1842212677002,0.0,1735987747.9908412,,,,,0.86475,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
11,113.41143894195557,0.0,1735987749.2180588,,1.0873699188232422,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
12,113.41160941123962,0.0,1735987749.2182293,,,,0.0009999940000250001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
13,121.47330689430237,0.0,1735987757.2799268,,,,,0.8615,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
14,123.30403566360474,0.0,1735987759.1106555,,1.146447777748108,0.8125,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
