_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,43.96371388435364,0.0,1735957104.609465,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
1,1442.1941177845001,0.0,1735958502.8398688,0.8940000007152558,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
2,1442.2861354351044,0.0,1735958502.9318864,,0.7319799661636353,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
3,1442.3927998542786,0.0,1735958503.0385509,,0.11982163041830063,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
4,1442.509370803833,0.0,1735958503.1551218,,7.731174264336005e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
5,1442.6098897457123,0.0,1735958503.2556407,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
6,1442.705857038498,0.0,1735958503.351608,,2.9802318390892424e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
7,1442.7909281253815,0.0,1735958503.4366791,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
8,1442.900396823883,0.0,1735958503.5461478,,2.9802318390892424e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
9,1442.9855086803436,0.0,1735958503.6312597,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
10,1443.073956489563,0.0,1735958503.7197075,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
11,1443.1747255325317,0.0,1735958503.8204765,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
12,1443.2693564891815,0.0,1735958503.9151075,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
13,1443.3738627433777,0.0,1735958504.0196137,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
14,1443.460366487503,0.0,1735958504.1061175,,7.450578376477779e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
15,1443.5619585514069,0.0,1735958504.2077096,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
16,1443.6564989089966,0.0,1735958504.30225,,5.960463234089275e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
17,1443.7392246723175,0.0,1735958504.3849757,,5.960463678178485e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
18,1443.8205893039703,0.0,1735958504.4663403,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
19,1443.9047112464905,0.0,1735958504.5504622,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
20,1444.0303905010223,0.0,1735958504.6761415,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
21,1444.1270897388458,0.0,1735958504.7728407,,8.940695295223122e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
22,1444.2383079528809,0.0,1735958504.884059,,2.235172580355993e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
23,1444.3342428207397,0.0,1735958504.9799938,,2.0861619987044833e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
24,1444.4250538349152,0.0,1735958505.0708048,,1.0430809993522416e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
25,1444.51056432724,0.0,1735958505.1563153,,8.344638047219632e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
26,1444.598040819168,0.0,1735958505.2437918,,2.6822084109312527e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
27,1444.6849479675293,0.0,1735958505.330699,,6.2584810223143e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
28,1444.7707161903381,0.0,1735958505.4164672,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
29,1444.856605052948,0.0,1735958505.502356,,1.0430811769879256e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
30,1444.9507591724396,0.0,1735958505.5965102,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
31,1445.040845632553,0.0,1735958505.6865966,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
32,1445.123727798462,0.0,1735958505.7694788,,1.2367938495572162e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
33,1445.2090752124786,0.0,1735958505.8548262,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
34,1445.2932088375092,0.0,1735958505.9389598,,2.0861616434331154e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
35,1445.3796963691711,0.0,1735958506.0254474,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
36,1445.468195438385,0.0,1735958506.1139464,,3.278253046801183e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
37,1445.5539999008179,0.0,1735958506.199751,,1.385804893061504e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
38,1445.6382701396942,0.0,1735958506.2840211,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
39,1445.7231771945953,0.0,1735958506.3689282,,1.4901154088420299e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
40,1445.8107643127441,0.0,1735958506.4565153,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
41,1445.9027585983276,0.0,1735958506.5485096,,2.235172402720309e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,10,4000,2,exp1_permuted_src_datasets
