_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,71.88438415527344,0.0,1735920659.153717,,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
1,71.9667055606842,0.0,1735920659.2360384,0.0,,,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
2,78.6931414604187,0.0,1735920665.9624743,,6.877198219299316,0.8125,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
3,78.69327187538147,0.0,1735920665.9626048,,,,0.001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
4,596.1701881885529,0.0,1735921183.439521,,,,,0.8534500000476837,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
5,601.3077816963196,0.0,1735921188.5771146,,1.553715467453003,0.875,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
6,601.3079249858856,0.0,1735921188.5772579,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
7,1124.3753385543823,0.0,1735921711.6446714,,,,,0.8911500000953674,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
8,1128.592146396637,0.0,1735921715.8614793,,1.8962904214859009,0.9125000238418579,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
9,1128.5922944545746,0.0,1735921715.8616273,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
10,1650.7781109809875,0.0,1735922238.0474439,,,,,0.912099999666214,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
11,1655.8558731079102,0.0,1735922243.125206,,1.78830087184906,0.925000011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
12,1655.8560910224915,0.0,1735922243.125424,,,,0.0009999940000250001,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
13,2154.0362162590027,0.0,1735922741.3055491,,,,,0.9172000000476838,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
14,2161.961146593094,0.0,1735922749.2304795,,0.4893488883972168,0.9375,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
15,2161.961293697357,0.0,1735922749.2306266,,,,0.000999990000065,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
16,2667.461422920227,0.0,1735923254.7307558,,,,,0.9111999995708465,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
17,2672.2159373760223,0.0,1735923259.4852703,,0.59813392162323,0.8999999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
18,2672.216087579727,0.0,1735923259.4854205,,,,0.0009999850001399992,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
19,3186.3722960948944,0.0,1735923773.641629,,,,,0.9053999991416931,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
20,3191.6616909503937,0.0,1735923778.9310238,,0.5093876719474792,0.987500011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
21,3191.6618995666504,0.0,1735923778.9312325,,,,0.0009999790002659977,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
22,3696.0669989585876,0.0,1735924283.3363318,,,,,0.9134499988555909,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
23,3701.5106365680695,0.0,1735924288.7799695,,0.5943793058395386,0.9624999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
24,3701.510788679123,0.0,1735924288.7801216,,,,0.0009999720004619944,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
25,4224.507135152817,0.0,1735924811.776468,,,,,0.9125499980449676,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
26,4230.116423130035,0.0,1735924817.385756,,1.1472752094268799,0.8999999761581421,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
27,4230.116570711136,0.0,1735924817.3859036,,,,0.0009999640007499883,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
28,4736.479268789291,0.0,1735925323.7486017,,,,,0.9254000000953674,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
29,4743.554017305374,0.0,1735925330.8233502,,0.5404857397079468,0.925000011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
30,4743.554172039032,0.0,1735925330.823505,,,,0.0009999550011549779,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
31,5251.91068649292,0.0,1735925839.1800194,,,,,0.9318499972820282,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
32,5258.614745140076,0.0,1735925845.884078,,0.4331304430961609,0.949999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
33,5258.61489033699,0.0,1735925845.8842232,,,,0.0009999450017049607,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
34,5761.464708566666,0.0,1735926348.7340415,,,,,0.9363499999046325,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
35,5767.041677713394,0.0,1735926354.3110106,,0.09667215496301651,0.987500011920929,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
36,5767.041819095612,0.0,1735926354.311152,,,,0.000999934002430934,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
37,6279.02475643158,0.0,1735926866.2940893,,,,,0.9364999997615814,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
38,6284.629804134369,0.0,1735926871.899137,,0.7574612498283386,0.949999988079071,,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
39,6284.629937171936,0.0,1735926871.89927,,,,0.0009999220033668937,,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
40,6787.49692940712,0.0,1735927374.7662623,,,,,0.9385999989509582,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,Greek,False,5,4000,2,exp1_permuted_src_datasets
