_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,2.9175686836242676,0.0,1735559417.4931676,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
1,9.168431282043457,0.0,1735559423.7440302,0.82375,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
2,9.370095491409302,0.0,1735559423.9456944,,0.9838619828224182,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
3,9.422085046768188,0.0,1735559423.997684,,0.9140821695327759,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
4,9.481971025466919,0.0,1735559424.05757,,0.803871214389801,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
5,9.529306411743164,0.0,1735559424.1049054,,0.8137235045433044,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
6,9.581417798995972,0.0,1735559424.1570168,,0.8188583850860596,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
7,9.629962682723999,0.0,1735559424.2055616,,0.7680729031562805,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
8,9.679641008377075,0.0,1735559424.25524,,0.75461745262146,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
9,9.725802183151245,0.0,1735559424.3014011,,0.8630735874176025,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
10,9.773932695388794,0.0,1735559424.3495317,,0.7451851963996887,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
11,9.83774471282959,0.0,1735559424.4133437,,0.8314568400382996,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
12,9.884452104568481,0.0,1735559424.460051,,0.6403188705444336,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
13,9.932009935379028,0.0,1735559424.507609,,0.6977089643478394,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
14,9.982672452926636,0.0,1735559424.5582714,,0.7701197862625122,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
15,10.029811382293701,0.0,1735559424.6054103,,0.7733837962150574,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
16,10.077190399169922,0.0,1735559424.6527894,,0.7482782006263733,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp1_permuted_src_datasets
