_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.733617305755615,0.0,1735642616.3244352,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
1,22.526817083358765,0.0,1735642630.117635,0.90075,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
2,22.558388710021973,0.0,1735642630.1492066,,0.6664626598358154,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
3,22.60427737236023,0.0,1735642630.1950953,,0.6548823118209839,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
4,22.648701190948486,0.0,1735642630.2395191,,0.6323610544204712,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
5,22.694011211395264,0.0,1735642630.2848291,,0.6684377789497375,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
6,22.75968623161316,0.0,1735642630.3505042,,0.6802564859390259,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
7,22.804903507232666,0.0,1735642630.3957214,,0.6749899387359619,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
8,22.85092258453369,0.0,1735642630.4417405,,0.6763002276420593,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
9,22.899522066116333,0.0,1735642630.49034,,0.7029791474342346,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
10,22.948926210403442,0.0,1735642630.5397441,,0.6416595578193665,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
11,22.998901844024658,0.0,1735642630.5897198,,0.6779607534408569,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
12,23.046865940093994,0.0,1735642630.6376839,,0.7269247174263,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
13,23.118370056152344,0.0,1735642630.709188,,0.6550632119178772,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
14,23.17160415649414,0.0,1735642630.762422,,0.6568616032600403,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
15,23.22284460067749,0.0,1735642630.8136625,,0.6374592185020447,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
16,23.272505521774292,0.0,1735642630.8633235,,0.49681010842323303,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
17,23.319462060928345,0.0,1735642630.91028,,0.5180553793907166,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
18,23.36714458465576,0.0,1735642630.9579625,,0.5979890823364258,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
19,23.41534662246704,0.0,1735642631.0061646,,0.5152990818023682,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
20,23.463128328323364,0.0,1735642631.0539463,,0.5075002312660217,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
21,23.510629653930664,0.0,1735642631.1014476,,0.6460016965866089,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
22,23.555525541305542,0.0,1735642631.1463435,,0.5367551445960999,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
23,23.600018739700317,0.0,1735642631.1908367,,0.4351195693016052,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,TKH,False,10,4000,2,exp1_permuted_src_datasets
