_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.928422689437866,0.0,1735661183.2735877,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
1,891.8675618171692,0.0,1735662071.2127268,0.39914999878406526,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
2,891.9430141448975,0.0,1735662071.2881792,,1.2022860050201416,0.824999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
3,892.0492007732391,0.0,1735662071.3943658,,0.2224445343017578,0.8999999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
4,892.1352910995483,0.0,1735662071.480456,,0.12340517342090607,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
5,892.2181851863861,0.0,1735662071.5633502,,0.16652317345142365,0.925000011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
6,892.305645942688,0.0,1735662071.650811,,0.0872272327542305,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
7,892.3946418762207,0.0,1735662071.739807,,0.10302171856164932,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
8,892.4904019832611,0.0,1735662071.835567,,0.0070910765789449215,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
9,892.579793214798,0.0,1735662071.9249582,,0.018069038167595863,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
10,892.66486120224,0.0,1735662072.0100262,,0.00876515731215477,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
11,892.7511177062988,0.0,1735662072.0962827,,0.046723976731300354,0.9750000238418579,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
12,892.8482134342194,0.0,1735662072.1933784,,0.005550418049097061,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
13,892.9362998008728,0.0,1735662072.2814648,,0.01434856466948986,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
14,893.0191159248352,0.0,1735662072.364281,,0.002712240442633629,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
15,893.1162667274475,0.0,1735662072.4614317,,0.008048832416534424,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
16,893.209673166275,0.0,1735662072.5548382,,0.01324058324098587,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
17,893.3162562847137,0.0,1735662072.6614213,,0.00044884448288939893,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
18,893.4050164222717,0.0,1735662072.7501814,,0.0008132484508678317,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
19,893.509782075882,0.0,1735662072.854947,,0.002950967289507389,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
20,893.5999135971069,0.0,1735662072.9450786,,0.0005152745288796723,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
21,893.7244775295258,0.0,1735662073.0696425,,0.0017659360310062766,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
22,893.8264529705048,0.0,1735662073.171618,,0.0010533236199989915,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
23,893.9145567417145,0.0,1735662073.2597218,,0.0004511068982537836,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
24,893.9999604225159,0.0,1735662073.3451254,,0.0007011444540694356,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
25,894.1096339225769,0.0,1735662073.454799,,0.00040547229582443833,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
26,894.1943094730377,0.0,1735662073.5394745,,0.007424701936542988,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
27,894.2848773002625,0.0,1735662073.6300423,,0.003140269545838237,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
28,894.3716967105865,0.0,1735662073.7168617,,0.00018206602544523776,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
29,894.4636695384979,0.0,1735662073.8088346,,0.00012096967839170247,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,miniImageNet_SOTA_testSet,TKH,False,10,4000,2,exp1_permuted_src_datasets
