_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,8.351276874542236,0.0,1734669931.1040628,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
1,17.343576431274414,0.0,1734669940.0963624,0.62625,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
2,17.3516948223114,0.0,1734669940.1044807,,1.3797367811203003,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
3,17.361531496047974,0.0,1734669940.1143174,,1.3816049098968506,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
4,17.371939659118652,0.0,1734669940.1247256,,1.3764269351959229,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
5,17.382384777069092,0.0,1734669940.1351707,,1.377302885055542,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
6,17.391587018966675,0.0,1734669940.144373,,1.3730220794677734,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
7,17.40068817138672,0.0,1734669940.153474,,1.374739408493042,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
8,17.409791231155396,0.0,1734669940.1625772,,1.4335458278656006,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
9,17.418869972229004,0.0,1734669940.171656,,1.3767070770263672,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
10,17.42797565460205,0.0,1734669940.1807616,,1.429007649421692,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
11,17.43705654144287,0.0,1734669940.1898425,,1.3741228580474854,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
12,17.446096897125244,0.0,1734669940.1988828,,1.3698920011520386,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
13,17.45534873008728,0.0,1734669940.2081347,,1.3724408149719238,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
14,17.464513540267944,0.0,1734669940.2172995,,1.3735883235931396,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
15,17.474252223968506,0.0,1734669940.2270381,,1.374163269996643,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
16,17.48736310005188,0.0,1734669940.240149,,1.3719063997268677,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
17,17.506698608398438,0.0,1734669940.2594845,,1.3697891235351562,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
18,17.522594213485718,0.0,1734669940.2753801,,1.3838754892349243,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
19,17.5317325592041,0.0,1734669940.2845185,,1.3718608617782593,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
20,17.540955543518066,0.0,1734669940.2937415,,1.3704273700714111,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
21,17.551198720932007,0.0,1734669940.3039846,,1.3719518184661865,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
22,17.560384511947632,0.0,1734669940.3131704,,1.4318161010742188,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
23,17.56951665878296,0.0,1734669940.3223026,,1.433139681816101,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
24,17.578721284866333,0.0,1734669940.3315072,,1.371456265449524,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
25,17.58786630630493,0.0,1734669940.3406522,,1.3732919692993164,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
26,17.599658250808716,0.0,1734669940.3524442,,1.3740564584732056,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
27,17.609119176864624,0.0,1734669940.361905,,1.4295754432678223,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
28,17.618218660354614,0.0,1734669940.3710046,,1.3691158294677734,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
29,17.627420902252197,0.0,1734669940.3802068,,1.3701937198638916,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
30,17.63754415512085,0.0,1734669940.39033,,1.3724967241287231,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
31,17.647752046585083,0.0,1734669940.400538,,1.3733165264129639,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
32,17.65701651573181,0.0,1734669940.4098024,,1.3784700632095337,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
33,17.666313886642456,0.0,1734669940.4190998,,1.432183861732483,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
34,17.67557954788208,0.0,1734669940.4283655,,1.3710366487503052,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
35,17.684914588928223,0.0,1734669940.4377005,,1.4294333457946777,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
36,17.694161415100098,0.0,1734669940.4469473,,1.3732953071594238,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
37,17.70344376564026,0.0,1734669940.4562297,,1.3741652965545654,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
38,17.712719202041626,0.0,1734669940.4655051,,1.4317214488983154,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
39,17.72204041481018,0.0,1734669940.4748263,,1.3686918020248413,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
40,17.731300354003906,0.0,1734669940.4840863,,1.4285727739334106,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
41,17.740535736083984,0.0,1734669940.4933217,,1.3736870288848877,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
42,17.749836206436157,0.0,1734669940.5026221,,1.3698302507400513,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
43,17.759145498275757,0.0,1734669940.5119314,,1.3731790781021118,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
44,17.76885485649109,0.0,1734669940.5216408,,1.3729641437530518,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
45,17.778217315673828,0.0,1734669940.5310032,,1.3724033832550049,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
46,17.787635803222656,0.0,1734669940.5404217,,1.3725844621658325,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
47,17.796919107437134,0.0,1734669940.549705,,1.3733232021331787,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
48,17.80856680870056,0.0,1734669940.5613527,,1.3703796863555908,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
49,17.81803846359253,0.0,1734669940.5708244,,1.428247094154358,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
50,17.827218532562256,0.0,1734669940.5800045,,1.3709180355072021,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
51,17.837292909622192,0.0,1734669940.5900788,,1.3693692684173584,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
52,17.846561431884766,0.0,1734669940.5993474,,1.372758150100708,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,b-59-850,False,1,4000,2,exp1_permuted_src_datasets
