_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,40.42418932914734,0.0,1734602428.8527613,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
1,1394.1064274311066,0.0,1734603782.5349994,0.9118500003814697,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
2,1394.1745703220367,0.0,1734603782.6031423,,0.012832537293434143,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
3,1394.2700006961823,0.0,1734603782.6985726,,0.0031443629413843155,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
4,1394.3538374900818,0.0,1734603782.7824094,,0.0018553370609879494,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
5,1394.450029373169,0.0,1734603782.8786013,,0.0008113033254630864,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
6,1394.5330476760864,0.0,1734603782.9616196,,0.0004178002127446234,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
7,1394.6189296245575,0.0,1734603783.0475016,,0.00017600020510144532,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
8,1394.7102658748627,0.0,1734603783.1388378,,7.761823508189991e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
9,1394.7951250076294,0.0,1734603783.223697,,0.00010476988973096013,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,b-59-850,False,10,4000,2,exp1_permuted_src_datasets
