_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.8594346046447754,0.0,1736502447.8855896,,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
1,8.22098970413208,0.0,1736502452.2471447,0.32075,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
2,8.237966537475586,0.0,1736502452.2641215,,1.4168606996536255,0.5,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
3,8.264922857284546,0.0,1736502452.2910779,,1.1855429410934448,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
4,8.2909095287323,0.0,1736502452.3170645,,1.2505106925964355,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
5,8.317522764205933,0.0,1736502452.3436778,,1.1840285062789917,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
6,8.343111038208008,0.0,1736502452.369266,,1.2490171194076538,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
7,8.369513750076294,0.0,1736502452.3956687,,1.3994656801223755,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
8,8.39537787437439,0.0,1736502452.4215329,,1.294174313545227,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
9,8.42145562171936,0.0,1736502452.4476106,,1.264112949371338,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
10,8.447830200195312,0.0,1736502452.4739852,,1.2315739393234253,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
11,8.474141120910645,0.0,1736502452.500296,,1.1608526706695557,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
12,8.500919818878174,0.0,1736502452.5270748,,1.1215994358062744,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
13,8.530071258544922,0.0,1736502452.5562263,,1.1725572347640991,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
14,8.556050777435303,0.0,1736502452.5822058,,1.2884656190872192,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
15,8.5831778049469,0.0,1736502452.6093328,,1.2127172946929932,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
16,8.608639240264893,0.0,1736502452.6347942,,1.1732171773910522,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
17,8.634397745132446,0.0,1736502452.6605527,,1.25169038772583,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
18,8.659592151641846,0.0,1736502452.6857471,,1.1728782653808594,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
19,8.686018228530884,0.0,1736502452.7121732,,1.1600505113601685,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
20,8.712459087371826,0.0,1736502452.738614,,1.2632322311401367,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
21,8.738671064376831,0.0,1736502452.764826,,1.2022980451583862,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
22,8.767545938491821,0.0,1736502452.793701,,1.13861882686615,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
23,8.792655229568481,0.0,1736502452.8188102,,1.056117296218872,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
24,8.81735897064209,0.0,1736502452.843514,,1.267417550086975,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
25,8.842514991760254,0.0,1736502452.86867,,1.2462095022201538,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
26,8.8676118850708,0.0,1736502452.8937669,,1.089679479598999,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
27,8.893548011779785,0.0,1736502452.919703,,1.1532889604568481,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
28,8.918673276901245,0.0,1736502452.9448283,,1.2003555297851562,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
29,8.94779920578003,0.0,1736502452.9739542,,1.120168924331665,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
30,8.976994276046753,0.0,1736502453.0031493,,1.0608857870101929,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
31,9.002264499664307,0.0,1736502453.0284195,,1.216614007949829,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
32,9.027674913406372,0.0,1736502453.05383,,1.169646143913269,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,miniImageNet_SOTA_trainSet,False,5,4000,2,exp1_permuted_src_datasets
