_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,2.681138753890991,0.0,1736058694.4929247,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
1,133.85460352897644,0.0,1736058825.6663895,0.7751999995708465,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
2,133.88514685630798,0.0,1736058825.6969328,,1.3923719052399974e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
3,133.9384524822235,0.0,1736058825.7502384,,9.864513685897691e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
4,133.97469925880432,0.0,1736058825.7864852,,2.875914901778742e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
5,134.0182590484619,0.0,1736058825.830045,,2.4884764115995495e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
6,134.05740523338318,0.0,1736058825.8691912,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
7,134.09768795967102,0.0,1736058825.909474,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
8,134.1378674507141,0.0,1736058825.9496534,,4.470344094897882e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
9,134.19237422943115,0.0,1736058826.0041602,,1.3411042054656264e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
10,134.23035168647766,0.0,1736058826.0421376,,5.960463678178485e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
11,134.26792573928833,0.0,1736058826.0797117,,7.4505792646561986e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
12,134.3048915863037,0.0,1736058826.1166775,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
13,134.34520173072815,0.0,1736058826.1569877,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
14,134.3839201927185,0.0,1736058826.1957061,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
15,134.42260003089905,0.0,1736058826.234386,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
16,134.46173787117004,0.0,1736058826.2735238,,7.4505797087454084e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
17,134.4992961883545,0.0,1736058826.3110821,,4.470348091700771e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
18,134.53935956954956,0.0,1736058826.3511455,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
19,134.578861951828,0.0,1736058826.390648,,2.086162353975851e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
20,134.6165292263031,0.0,1736058826.4283152,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
21,134.6623375415802,0.0,1736058826.4741235,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
22,134.70860624313354,0.0,1736058826.5203922,,8.940695295223122e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
23,134.74673795700073,0.0,1736058826.558524,,5.960463234089275e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
24,134.79412007331848,0.0,1736058826.605906,,1.3411042054656264e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
25,134.8313262462616,0.0,1736058826.6431122,,5.960463234089275e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
26,134.8696038722992,0.0,1736058826.6813898,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
27,134.9060094356537,0.0,1736058826.7177954,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
28,134.94323182106018,0.0,1736058826.7550178,,2.2351732908987287e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
29,134.9814510345459,0.0,1736058826.793237,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
30,135.0192849636078,0.0,1736058826.831071,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
31,135.05737972259521,0.0,1736058826.8691657,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
32,135.09562826156616,0.0,1736058826.9074142,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
33,135.13435077667236,0.0,1736058826.9461367,,1.0430809993522416e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
34,135.1832013130188,0.0,1736058826.9949872,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
35,135.22048091888428,0.0,1736058827.0322669,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
36,135.25863027572632,0.0,1736058827.0704162,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
37,135.29592847824097,0.0,1736058827.1077144,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
38,135.33416962623596,0.0,1736058827.1459556,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
39,135.37389397621155,0.0,1736058827.18568,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
40,135.41129517555237,0.0,1736058827.223081,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
41,135.44912147521973,0.0,1736058827.2609074,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
42,135.48507165908813,0.0,1736058827.2968576,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
43,135.52826809883118,0.0,1736058827.340054,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
44,135.56683325767517,0.0,1736058827.3786192,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
45,135.60437321662903,0.0,1736058827.4161592,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
46,135.64285445213318,0.0,1736058827.4546404,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
47,135.69676995277405,0.0,1736058827.508556,,2.9802318390892424e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
48,135.73437547683716,0.0,1736058827.5461614,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
49,135.77335596084595,0.0,1736058827.585142,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
50,135.80995655059814,0.0,1736058827.6217425,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Egyptian,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
