_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.8826682567596436,0.0,1736270000.0891893,,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
1,8.471542835235596,0.0,1736270004.6780639,0.2485,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
2,8.48974347114563,0.0,1736270004.6962645,,1.366657018661499,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
3,8.516706466674805,0.0,1736270004.7232275,,1.5013773441314697,0.5625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
4,8.542530298233032,0.0,1736270004.7490513,,1.3480581045150757,0.5625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
5,8.57126498222351,0.0,1736270004.777786,,1.480981707572937,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
6,8.598827838897705,0.0,1736270004.8053489,,1.2712905406951904,0.5,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
7,8.624032735824585,0.0,1736270004.8305538,,1.3603224754333496,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
8,8.657498836517334,0.0,1736270004.8640199,,1.4698572158813477,0.375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
9,8.683611631393433,0.0,1736270004.8901327,,1.3426917791366577,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
10,8.710145235061646,0.0,1736270004.9166663,,1.3379902839660645,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
11,8.735160112380981,0.0,1736270004.9416811,,1.327375054359436,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
12,8.759697437286377,0.0,1736270004.9662185,,1.2841980457305908,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
13,8.785483598709106,0.0,1736270004.9920046,,1.2527735233306885,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
14,8.810344934463501,0.0,1736270005.016866,,1.321996808052063,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
15,8.83565902709961,0.0,1736270005.04218,,1.2703049182891846,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
16,8.86138367652893,0.0,1736270005.0679047,,1.287703514099121,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
17,8.889024257659912,0.0,1736270005.0955453,,1.1615805625915527,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
18,8.917612075805664,0.0,1736270005.124133,,1.1075983047485352,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
19,8.945931911468506,0.0,1736270005.152453,,1.21932053565979,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
20,8.972278356552124,0.0,1736270005.1787994,,1.2417864799499512,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
21,9.000767469406128,0.0,1736270005.2072885,,1.1332710981369019,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
22,9.027954339981079,0.0,1736270005.2344754,,1.2174714803695679,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
23,9.05473804473877,0.0,1736270005.261259,,1.2001709938049316,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
24,9.082803010940552,0.0,1736270005.289324,,1.176619529724121,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
25,9.111347913742065,0.0,1736270005.317869,,1.1805484294891357,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
26,9.138373136520386,0.0,1736270005.3448942,,1.0781335830688477,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
27,9.168480396270752,0.0,1736270005.3750014,,1.1838115453720093,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
28,9.19537091255188,0.0,1736270005.401892,,1.188220500946045,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
29,9.225132703781128,0.0,1736270005.4316537,,1.2520133256912231,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
30,9.251300811767578,0.0,1736270005.4578218,,1.132323145866394,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
31,9.280085802078247,0.0,1736270005.4866068,,1.2284547090530396,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
32,9.307024002075195,0.0,1736270005.513545,,1.248429536819458,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
33,9.334635734558105,0.0,1736270005.5411568,,1.2074438333511353,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
34,9.360888004302979,0.0,1736270005.567409,,1.06842839717865,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
35,9.387217998504639,0.0,1736270005.593739,,1.1551977396011353,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
36,9.415586471557617,0.0,1736270005.6221075,,1.2480970621109009,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
37,9.442859172821045,0.0,1736270005.6493802,,1.1577682495117188,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
38,9.470224142074585,0.0,1736270005.6767452,,1.2726621627807617,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
39,9.503623723983765,0.0,1736270005.7101448,,1.1716499328613281,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
40,9.533968925476074,0.0,1736270005.74049,,1.1129419803619385,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
41,9.560293912887573,0.0,1736270005.766815,,1.2529046535491943,0.5625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
42,9.585629224777222,0.0,1736270005.7921503,,1.170401692390442,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
43,9.61030626296997,0.0,1736270005.8168273,,1.1443690061569214,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
44,9.63704538345337,0.0,1736270005.8435664,,1.1204839944839478,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
45,9.661105871200562,0.0,1736270005.867627,,1.1280430555343628,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
46,9.686690330505371,0.0,1736270005.8932114,,1.0500587224960327,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
47,9.711981534957886,0.0,1736270005.9185026,,1.1873530149459839,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,omniglot_SOTA_trainvalSet,False,5,4000,2,exp1_permuted_src_datasets
