_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,41.853893762,0.0,1735170260.933965,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
1,59.824876833,0.0,1735170278.9446056,0.8295,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
2,59.846931361,0.0,1735170278.9665344,,0.9655796885490417,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
3,59.886493955,0.0,1735170279.0061288,,0.9278815984725952,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
4,59.912433241,0.0,1735170279.0320606,,0.8824971318244934,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
5,59.937261465,0.0,1735170279.0568871,,0.8398666977882385,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
6,59.963335348,0.0,1735170279.08296,,0.8249483108520508,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
7,59.993928323,0.0,1735170279.1135676,,0.8118115663528442,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
8,60.026607775,0.0,1735170279.1462202,,0.7786757349967957,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
9,60.065937016,0.0,1735170279.1855898,,0.7891879081726074,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
10,60.091756433,0.0,1735170279.2114003,,0.8176377415657043,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
11,60.117315032,0.0,1735170279.236962,,0.7506009340286255,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
12,60.142659463,0.0,1735170279.2623203,,0.7979339361190796,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
13,60.168522761,0.0,1735170279.28817,,0.799608051776886,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
14,60.194798983,0.0,1735170279.314404,,0.7622752785682678,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
15,60.219631181,0.0,1735170279.3392713,,0.779911994934082,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
16,60.243998122,0.0,1735170279.3636134,,0.7905133962631226,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
17,60.269570677,0.0,1735170279.3892124,,0.7259817123413086,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
18,60.299127248,0.0,1735170279.4187431,,0.7166175842285156,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
19,60.323871271,0.0,1735170279.443504,,0.7962677478790283,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
20,60.348336111,0.0,1735170279.467988,,0.7543780207633972,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
21,60.372197697,0.0,1735170279.4918742,,0.8111073970794678,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
22,60.417851808,0.0,1735170279.5178854,,0.7606321573257446,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
23,60.423797275,0.0,1735170279.5434418,,0.7468259334564209,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
24,60.448381256,0.0,1735170279.5680337,,0.6929585933685303,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
25,60.472369409,0.0,1735170279.592008,,0.745696485042572,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
26,60.503184673,0.0,1735170279.6227975,,0.7376275062561035,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
27,60.527289752,0.0,1735170279.646937,,0.7216018438339233,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
28,60.558216313,0.0,1735170279.6778545,,0.7189081311225891,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
29,60.58250912,0.0,1735170279.7021794,,0.7347229719161987,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
30,60.619325733,0.0,1735170279.7389643,,0.728523313999176,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
31,60.661828295,0.0,1735170279.7650757,,0.679719865322113,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
32,60.670736019,0.0,1735170279.7903886,,0.7411956787109375,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,Egyptian,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
