_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc_src_data,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,216.156205948,0.0,1735515902.1691294,,,,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
1,216.229257378,0.0,1735515902.2421174,0.0,,,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
2,217.369382269,0.0,1735515903.3821151,,1.5392054319381714,0.5625,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
3,217.369412185,0.0,1735515903.382286,,,,0.001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
4,227.858718599,0.0,1735515913.8716736,,,,,0.82775,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
5,229.701255414,0.0,1735515915.7140157,,1.1839584112167358,0.9375,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
6,229.701288622,0.0,1735515915.714184,,,,0.0009999990000010002,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
7,240.242980848,0.0,1735515926.2559004,,,,,0.8545,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
8,240.933072853,0.0,1735515926.9458559,,1.195407509803772,0.75,,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
9,240.980598539,0.0,1735515926.9460177,,,,0.0009999970000070001,,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
10,251.578743825,0.0,1735515937.5916948,,,,,0.85325,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Egyptian,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
