_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.705536309,0.0,1735617636.0115337,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
1,41.071484922,0.0,1735617673.3343182,0.9800500066280365,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
2,41.112957503,0.0,1735617673.4189079,,0.1862444281578064,0.9375,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
3,41.201195164,0.0,1735617673.507095,,0.035522330552339554,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
4,41.286824843,0.0,1735617673.5926723,,0.024795006960630417,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
5,41.380023629,0.0,1735617673.6859074,,0.018134228885173798,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
6,41.481821954,0.0,1735617673.787642,,0.0015315022319555283,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
7,41.567962199,0.0,1735617673.873853,,0.0006087548681534827,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
8,41.650359586,0.0,1735617673.9562657,,0.00041120321839116514,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
9,41.732839709,0.0,1735617674.0386746,,0.0007216084050014615,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
10,41.817517162,0.0,1735617674.1233582,,0.0009205363458022475,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
11,41.909583616,0.0,1735617674.2155147,,0.0005635562120005488,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
12,41.995936613,0.0,1735617674.3018813,,0.0005414516781456769,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
13,42.099636092,0.0,1735617674.405485,,0.0004368827794678509,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
14,42.189149907,0.0,1735617674.495015,,0.00036779107176698744,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
15,42.285257571,0.0,1735617674.5911038,,0.0003652891900856048,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
16,42.371350925,0.0,1735617674.677276,,0.0006641749059781432,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,TKH,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
