_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,1.8521064680000001,0.0,1734742981.4360776,,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
1,8.096034023,0.0,1734742987.6799986,0.30175,,,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
2,8.123366115,0.0,1734742987.7073367,,1.1227643489837646,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
3,8.167463119,0.0,1734742987.7514184,,1.3651814460754395,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
4,8.212508476,0.0,1734742987.7964692,,1.265234112739563,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
5,8.257722663,0.0,1734742987.841696,,1.1889657974243164,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
6,8.304384431999999,0.0,1734742987.8883348,,1.1249796152114868,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
7,8.349366303,0.0,1734742987.9333344,,1.2659978866577148,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
8,8.393989671,0.0,1734742987.977954,,1.2773817777633667,0.625,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
9,8.438568403,0.0,1734742988.0225077,,1.207972764968872,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
10,8.482941876,0.0,1734742988.0668612,,1.0820668935775757,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
11,8.526831709,0.0,1734742988.1108036,,1.1243469715118408,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
12,8.570711114,0.0,1734742988.154662,,1.1599626541137695,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
13,8.615160169,0.0,1734742988.1991062,,1.1755321025848389,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
14,8.660075267,0.0,1734742988.2440464,,1.2702192068099976,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
15,8.704289251,0.0,1734742988.2882802,,1.2060902118682861,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
16,8.74855678,0.0,1734742988.33252,,1.0887337923049927,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
17,8.793339182,0.0,1734742988.377298,,1.1088591814041138,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
18,8.837628613,0.0,1734742988.421604,,1.1055423021316528,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
19,8.882233819,0.0,1734742988.4662137,,1.16722571849823,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,miniImageNet_SOTA_testSet,b-59-850,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
