_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,3.466855857,0.0,1734708891.045006,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
1,39.750549722,0.0,1734708927.3287745,0.8692000014781952,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
2,39.780743395,0.0,1734708927.3589141,,0.18584829568862915,0.949999988079071,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
3,39.818942487,0.0,1734708927.397092,,0.006262586917728186,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
4,39.856183106,0.0,1734708927.4343214,,2.2709689801558852e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
5,39.892265867,0.0,1734708927.470431,,8.77609636518173e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
6,39.928192059,0.0,1734708927.5063574,,1.858566793089267e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
7,39.965109407,0.0,1734708927.5432255,,6.9747911766171455e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
8,40.0011609,0.0,1734708927.5793226,,5.5325563153019175e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
9,40.038690709,0.0,1734708927.6168249,,2.010148364206543e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
10,40.075945768,0.0,1734708927.6540585,,3.687945081765065e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
11,40.112338699,0.0,1734708927.6904907,,2.977197709697066e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
12,40.148829582,0.0,1734708927.7269883,,2.302205757587217e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
13,40.188251206,0.0,1734708927.766419,,1.990767486859113e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
14,40.223640213,0.0,1734708927.8017943,,1.4448875845118891e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
15,40.259254048,0.0,1734708927.8374205,,3.7087033888383303e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
16,40.311324104,0.0,1734708927.8894453,,2.3170816803030903e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
17,40.348592623,0.0,1734708927.9267547,,9.092967957258224e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
18,40.385167394,0.0,1734708927.9633143,,2.0802301150979474e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
19,40.422446205,0.0,1734708928.0005946,,5.505621629708912e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
20,40.467336052,0.0,1734708928.0375261,,1.0346583621867467e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
21,40.499902284,0.0,1734708928.0780523,,3.4643883282114984e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
22,40.535953579,0.0,1734708928.1141067,,0.0003311952168587595,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
23,40.573808198,0.0,1734708928.1519527,,5.467350274557248e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
24,40.621903459,0.0,1734708928.2000203,,2.6940622319671093e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
25,40.664338228,0.0,1734708928.242403,,2.4660746476001805e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
26,40.7040923,0.0,1734708928.2822428,,1.737451725603023e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
27,40.7470065,0.0,1734708928.325164,,7.792893484293018e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
28,40.783702269,0.0,1734708928.3618522,,9.685707027529133e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
29,40.832291334,0.0,1734708928.4104567,,1.0013533255914808e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
30,40.869173774,0.0,1734708928.4473176,,1.6897599834919674e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
31,40.905326219,0.0,1734708928.4834757,,2.5376398298249114e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
32,40.941731676,0.0,1734708928.5199084,,1.9415397218836006e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
33,40.978135759,0.0,1734708928.556244,,1.4990416730142897e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
34,41.014351694,0.0,1734708928.5924892,,5.424009259513696e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
35,41.05282825,0.0,1734708928.6309795,,1.8387767113381415e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
36,41.094944487,0.0,1734708928.6730938,,8.359528465007315e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,omniglot_SOTA_testSet,b-59-850,False,5,4000,2,exp2_permuted_src_datasets_WithValidation
