_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,5.378270715,0.0,1736082133.6958966,,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
1,12.516710963,0.0,1736082140.83435,0.6175,,,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
2,12.546483571,0.0,1736082140.8640301,,0.8283968567848206,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
3,12.592632083,0.0,1736082140.910165,,0.7444097995758057,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
4,12.637076655,0.0,1736082140.9546087,,0.7305557131767273,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
5,12.681823714,0.0,1736082140.9989805,,0.6985279321670532,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
6,12.724996933,0.0,1736082141.0424883,,0.6777051687240601,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
7,12.783915764,0.0,1736082141.1013732,,0.7006464600563049,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
8,12.858471806,0.0,1736082141.1759164,,0.5932669043540955,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
9,12.907062704,0.0,1736082141.22445,,0.5822814106941223,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,b-59-850,omniglot_SOTA_trainvalSet,False,10,4000,2,exp2_permuted_src_datasets_WithValidation
