_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,214.618701903,0.0,1737020286.0408974,,,,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
1,1221.239227985,0.0,1737021292.6192718,0.4595833325982094,,,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
2,1221.239266244,0.0,1737021292.655753,,3.8955066204071045,0.7291666865348816,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
3,1221.345741951,0.0,1737021292.7679565,,5.4147047996521,0.7291666865348816,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
4,1221.40470886,0.0,1737021292.8269467,,0.7875450253486633,0.8125,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
5,1221.447891253,0.0,1737021292.870156,,2.219383478164673,0.875,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
6,1221.490161767,0.0,1737021292.9124446,,1.4426652193069458,0.8541666865348816,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
7,1221.531183674,0.0,1737021292.9533873,,0.06976014375686646,0.9791666865348816,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
8,1221.572479565,0.0,1737021292.9947488,,0.29892227053642273,0.9375,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
9,1221.612872054,0.0,1737021293.035174,,0.11264672130346298,0.9791666865348816,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
