_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,202.46672613,0.0,1737001686.2341018,,,,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
1,207.053547448,0.0,1737001690.8209133,0.2485,,,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
2,207.06889717,0.0,1737001690.8362043,,1.3372713327407837,0.4375,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
3,207.091651729,0.0,1737001690.8589644,,1.3520351648330688,0.3125,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
4,207.116095163,0.0,1737001690.8834138,,1.224496841430664,0.5625,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
5,207.1369259,0.0,1737001690.9042366,,1.3375380039215088,0.3125,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
6,207.158074447,0.0,1737001690.9254024,,1.286764144897461,0.625,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
7,207.179307212,0.0,1737001690.9466295,,1.178063988685608,0.8125,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
8,207.200305197,0.0,1737001690.967637,,1.2967875003814697,0.4375,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
9,207.221219344,0.0,1737001690.9885488,,1.2749124765396118,0.625,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
10,207.242706579,0.0,1737001691.0100305,,1.1866682767868042,0.5,0.001,1,16,40x40,MatchingNetwork,4,5,BreaKHis_formatted,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
