_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,5.569248442,0.0,1736894201.5049102,,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
1,13.200627528,0.0,1736894209.1362865,0.584,,,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
2,13.219227146,0.0,1736894209.1547968,,1.5785598754882812,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
3,13.252792983,0.0,1736894209.1883113,,1.4912502765655518,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
4,13.281077243,0.0,1736894209.2166345,,1.4592102766036987,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
5,13.310134613,0.0,1736894209.245635,,1.3425922393798828,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
6,13.33811381,0.0,1736894209.2737072,,1.4021821022033691,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
7,13.366646176,0.0,1736894209.3021555,,1.4179142713546753,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
8,13.394857483,0.0,1736894209.3304288,,1.1586353778839111,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
9,13.423273694,0.0,1736894209.3587542,,1.3613544702529907,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
10,13.452392034,0.0,1736894209.387969,,1.3301159143447876,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
11,13.481547104,0.0,1736894209.417038,,1.402915358543396,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
12,13.509379312,0.0,1736894209.4449546,,1.2673711776733398,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
13,13.537031433,0.0,1736894209.4725437,,1.2644124031066895,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
14,13.564540911,0.0,1736894209.5001187,,1.260465145111084,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
15,13.592230397,0.0,1736894209.5277402,,1.1502591371536255,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
16,13.620612943,0.0,1736894209.5562015,,1.1857486963272095,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
17,13.648762447,0.0,1736894209.5842633,,1.1653697490692139,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
18,13.676328476,0.0,1736894209.6119027,,1.1490577459335327,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
19,13.703677607,0.0,1736894209.6391816,,1.0694080591201782,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
20,13.732692774,0.0,1736894209.6682541,,1.0077100992202759,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
21,13.760328574999999,0.0,1736894209.6958134,,1.1013927459716797,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
22,13.787673727,0.0,1736894209.7232246,,1.0527247190475464,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
23,13.815482881,0.0,1736894209.7510004,,1.0724486112594604,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
24,13.842864528,0.0,1736894209.7784247,,1.0616554021835327,0.875,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
25,13.874547812,0.0,1736894209.8100328,,1.146746039390564,0.8125,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
26,13.904553877,0.0,1736894209.840106,,1.0695289373397827,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
27,13.932571253,0.0,1736894209.8680992,,1.062767744064331,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
28,13.960730926,0.0,1736894209.8962722,,1.015720009803772,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
29,13.989380884,0.0,1736894209.9248686,,0.9810687303543091,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
30,14.017987521,0.0,1736894209.953502,,1.0029757022857666,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
31,14.046247557,0.0,1736894209.981768,,0.9696698188781738,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
32,14.074030727,0.0,1736894210.0095718,,1.0150972604751587,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
33,14.10278025,0.0,1736894210.0382807,,0.990443766117096,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
34,14.130749082,0.0,1736894210.0662658,,0.95719313621521,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
35,14.159120486,0.0,1736894210.0945656,,0.8857672810554504,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
36,14.186966585,0.0,1736894210.1224942,,0.9924755692481995,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
37,14.215012328,0.0,1736894210.1505337,,0.9559445381164551,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
38,14.242667528,0.0,1736894210.1782436,,0.9628552198410034,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
39,14.269685872,0.0,1736894210.2052076,,0.9162169098854065,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
40,14.29683582,0.0,1736894210.2323842,,0.9016818404197693,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
41,14.324630353,0.0,1736894210.2601566,,0.9686883687973022,0.9375,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
42,14.352652148,0.0,1736894210.2881854,,0.8700771331787109,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
43,14.380605508,0.0,1736894210.3161223,,0.8538742661476135,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
44,14.408410067,0.0,1736894210.3439682,,0.9930728673934937,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
45,14.435054553,0.0,1736894210.3705769,,0.9755971431732178,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
46,14.462776176,0.0,1736894210.3983324,,0.8672745227813721,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset
