_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,36.620609244,0.0,1736864210.4762955,,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
1,44.72341035,0.0,1736864218.5791204,0.65375,,,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
2,44.731298175,0.0,1736864218.5869513,,1.3932139873504639,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
3,44.741140385,0.0,1736864218.5968232,,1.4347883462905884,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
4,44.750637853,0.0,1736864218.6063237,,1.4404064416885376,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
5,44.76065921,0.0,1736864218.6162455,,1.440137267112732,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
6,44.770444218,0.0,1736864218.626104,,1.3859761953353882,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
7,44.77997801,0.0,1736864218.6356664,,1.3814218044281006,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
8,44.789476499,0.0,1736864218.645168,,1.3833401203155518,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
9,44.798952331,0.0,1736864218.6546447,,1.4351106882095337,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
10,44.808408501,0.0,1736864218.6640973,,1.4593071937561035,0.6875,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
11,44.817932628,0.0,1736864218.6736138,,1.3809740543365479,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
12,44.827387519,0.0,1736864218.6830769,,1.3731250762939453,1.0,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
13,44.836996784,0.0,1736864218.692665,,1.4364655017852783,0.75,0.001,1,16,40x40,MatchingNetwork,5,5,TKH,NO_SRC_DATASET,False,1,4000,2,exp4_same_dataset
