_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,39.130593592,0.0,1736870492.933407,,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
1,980.958772145,0.0,1736871434.719817,0.7668500006198883,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
2,980.985221939,0.0,1736871434.7878788,,0.5564453601837158,0.9624999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
3,981.071542813,0.0,1736871434.8741658,,0.016870765015482903,0.987500011920929,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
4,981.155447654,0.0,1736871434.9581373,,0.0031294096261262894,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
5,981.250686521,0.0,1736871435.053359,,0.0025671101175248623,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
6,981.357757402,0.0,1736871435.1604466,,0.0005255864234641194,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
7,981.447942063,0.0,1736871435.2506092,,0.0005271531990729272,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
8,981.555724544,0.0,1736871435.3583813,,6.582336936844513e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
9,981.64066706,0.0,1736871435.4433484,,0.00048007135046646,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
10,981.727129448,0.0,1736871435.5297506,,3.3080603316193447e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
11,981.812465251,0.0,1736871435.6150744,,2.7472862711874768e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
12,981.893910581,0.0,1736871435.6965985,,6.03585203862167e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
13,981.980463004,0.0,1736871435.7831433,,2.20967422137619e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
14,982.065648749,0.0,1736871435.8683453,,8.91518902790267e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
15,982.149835939,0.0,1736871435.9525435,,3.129205481400277e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
16,982.238978134,0.0,1736871436.0416613,,2.5043545974767767e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
17,982.326464177,0.0,1736871436.129155,,3.839461351162754e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
18,982.411946993,0.0,1736871436.214575,,6.806619239796419e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
19,982.498351228,0.0,1736871436.3010364,,1.0201551958743948e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
20,982.589952783,0.0,1736871436.3926485,,6.109461025971541e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
21,982.679577075,0.0,1736871436.4822617,,1.928911115101073e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
22,982.764923995,0.0,1736871436.567517,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
23,982.853780307,0.0,1736871436.6564677,,2.2722906578565016e-05,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
24,982.941089359,0.0,1736871436.743786,,4.760461706609931e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
25,983.023797241,0.0,1736871436.8264399,,1.1175465033375076e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
26,983.106385869,0.0,1736871436.9090497,,7.748580088673407e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
27,983.190527404,0.0,1736871436.9931397,,1.4901085876317666e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
28,983.297896085,0.0,1736871437.1005113,,2.8920087515871273e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
29,983.387213016,0.0,1736871437.18979,,3.57627456537557e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
30,983.481974205,0.0,1736871437.2846534,,1.1205172540940112e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
31,983.583221492,0.0,1736871437.3859098,,6.8905792431905866e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
32,983.668767591,0.0,1736871437.4714725,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
33,983.75373097,0.0,1736871437.5564404,,3.0381181659322465e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
34,983.837939293,0.0,1736871437.6406438,,5.215368332756043e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
35,983.922160439,0.0,1736871437.7248578,,1.5943309108479298e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
36,984.003966324,0.0,1736871437.8065753,,3.5166263501196227e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
37,984.086471095,0.0,1736871437.8891618,,1.4304316664492944e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
38,984.172477912,0.0,1736871437.9751124,,3.57627456537557e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
39,984.254755682,0.0,1736871438.057448,,2.533194809473116e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
40,984.338905098,0.0,1736871438.1415927,,1.3618929415315506e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
41,984.425763813,0.0,1736871438.2283623,,7.897591558503336e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
42,984.512091553,0.0,1736871438.314781,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
43,984.598033441,0.0,1736871438.400627,,8.940695295223122e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
44,984.681442801,0.0,1736871438.484067,,1.206990418722853e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
45,984.76532102,0.0,1736871438.5679915,,6.720284773109597e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
46,984.847218504,0.0,1736871438.649892,,2.965317094094644e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
47,984.929164853,0.0,1736871438.731776,,3.1035274332680274e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
48,985.01627467,0.0,1736871438.8189776,,3.278235567449883e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
49,985.102823539,0.0,1736871438.9054525,,9.78990328803775e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
50,985.188470651,0.0,1736871438.9911346,,4.1723183130670805e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
51,985.269680415,0.0,1736871439.072328,,1.2948457879247144e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
52,985.352884263,0.0,1736871439.1555784,,2.9802320611338473e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
53,985.43811016,0.0,1736871439.2407255,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
54,985.533223819,0.0,1736871439.3358283,,2.831217571497291e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
55,985.621020597,0.0,1736871439.4236312,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
56,985.716394995,0.0,1736871439.5190628,,1.3410976862360258e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
57,985.801935097,0.0,1736871439.6045375,,5.498432642525586e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
58,985.891284804,0.0,1736871439.6939433,,5.364415756048402e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
59,985.97572172,0.0,1736871439.7783396,,2.1515916159842163e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
60,986.060335718,0.0,1736871439.8630078,,4.9173785043876705e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
61,986.142761543,0.0,1736871439.945436,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
62,986.225971369,0.0,1736871440.0285792,,2.264964962250815e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
63,986.309999175,0.0,1736871440.112691,,1.3709005486362003e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
64,1963.862765336,0.0,1736872417.624311,0.9245499997138977,,,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
65,1963.911071347,0.0,1736872417.713711,,2.1904600089328596e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
66,1963.999815371,0.0,1736872417.8024395,,1.2963943163413205e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
67,1964.095189296,0.0,1736872417.897846,,2.726895331761625e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
68,1964.18250766,0.0,1736872417.9851065,,2.7685152872436447e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
69,1964.271516658,0.0,1736872418.074191,,3.024916566118918e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
70,1964.360621656,0.0,1736872418.1632254,,8.210270721065172e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
71,1964.506167546,0.0,1736872418.3088148,,0.0,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
72,1964.621218474,0.0,1736872418.423907,,7.942218758216768e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
73,1964.705691926,0.0,1736872418.5083935,,2.4884829485927185e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
74,1964.790833826,0.0,1736872418.5935144,,1.662907038735284e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
75,1964.877092709,0.0,1736872418.6797822,,1.7881269798181165e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
76,1964.967370946,0.0,1736872418.769998,,7.4505792646561986e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
77,1965.049738477,0.0,1736872418.852429,,2.264961267428589e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
78,1965.133149803,0.0,1736872418.9358428,,8.076184485616977e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
79,1965.225022537,0.0,1736872419.0276856,,7.077917416609125e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
80,1965.310259687,0.0,1736872419.1129606,,1.2888889386886149e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
81,1965.395387532,0.0,1736872419.1980886,,3.680535769490234e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
82,1965.48594948,0.0,1736872419.28869,,4.4404950472198834e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
83,1965.57262751,0.0,1736872419.375261,,2.3841838725502384e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
84,1965.675813048,0.0,1736872419.4785314,,4.470347647611561e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
85,1965.758710466,0.0,1736872419.5613694,,1.0579799436527537e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
86,1965.867187913,0.0,1736872419.669884,,4.947090133100573e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
87,1965.957921699,0.0,1736872419.7606122,,2.6983159386873012e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
88,1966.041474557,0.0,1736872419.844069,,9.834727876523175e-08,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
89,1966.126520897,0.0,1736872419.929211,,3.233529355384235e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
90,1966.240663065,0.0,1736872420.0432894,,1.4901160305669237e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
91,1966.327003529,0.0,1736872420.1296864,,1.104127363760199e-06,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
92,1966.410387158,0.0,1736872420.2130375,,5.960463678178485e-09,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
93,1966.495528229,0.0,1736872420.2982008,,1.7583319333880354e-07,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,TKH,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset
