_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,0.720015948,0.0,1736877711.6046512,,,,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
1,2.832450052,0.0,1736877713.717174,0.4775,,,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
2,2.83952119,0.0,1736877713.724181,,1.415893316268921,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
3,2.850691342,0.0,1736877713.7353513,,1.4388718605041504,0.8125,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
4,2.8597431540000002,0.0,1736877713.7444317,,1.4439480304718018,0.875,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
5,2.868264817,0.0,1736877713.7529671,,1.411804437637329,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
6,2.877046955,0.0,1736877713.7617383,,1.4423930644989014,0.5625,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
7,2.885789355,0.0,1736877713.7704701,,1.390141487121582,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
8,2.8945263690000003,0.0,1736877713.7791955,,1.4437745809555054,0.8125,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
9,2.903370957,0.0,1736877713.7880573,,1.408761978149414,0.875,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
10,2.912031936,0.0,1736877713.7967293,,1.394742727279663,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Egyptian,Greek,False,1,4000,2,exp5_hyperparameters
