_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.555901451,0.0,1736884608.1209726,,,,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
1,13.711133055,0.0,1736884617.276204,0.4875,,,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
2,13.719269776,0.0,1736884617.2843108,,1.4737201929092407,0.9375,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
3,13.728789712,0.0,1736884617.29381,,1.4783979654312134,0.9375,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
4,13.737992022,0.0,1736884617.3030236,,1.4779698848724365,0.9375,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
5,13.747024202,0.0,1736884617.3120494,,1.4560543298721313,0.875,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
6,13.755988306999999,0.0,1736884617.3210022,,1.43844735622406,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
7,13.764822041,0.0,1736884617.3298457,,1.4334464073181152,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
8,13.77823865,0.0,1736884617.3432305,,1.4138833284378052,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
9,13.787261679,0.0,1736884617.3523147,,1.4171724319458008,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
10,13.796121096,0.0,1736884617.3611414,,1.423559308052063,0.9375,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
11,13.8050046,0.0,1736884617.3700378,,1.41301691532135,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
12,13.813715448,0.0,1736884617.3787491,,1.3987042903900146,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
13,13.822712933,0.0,1736884617.3876736,,1.4565744400024414,0.9375,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
14,13.831436681,0.0,1736884617.3964508,,1.3905225992202759,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
15,13.846577251,0.0,1736884617.4115584,,1.3933312892913818,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
16,13.855697687,0.0,1736884617.420734,,1.406575083732605,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
17,13.865128895,0.0,1736884617.4301357,,1.4013726711273193,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
18,13.874091581,0.0,1736884617.439123,,1.386206865310669,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
19,13.88307542,0.0,1736884617.448114,,1.389984369277954,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
20,13.891936215,0.0,1736884617.4569738,,1.3907887935638428,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
21,13.900763092,0.0,1736884617.4658105,,1.3829009532928467,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
22,13.90967308,0.0,1736884617.4747086,,1.395098328590393,0.9375,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
23,13.91858297,0.0,1736884617.4836304,,1.3878695964813232,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
24,13.92756378,0.0,1736884617.4926121,,1.389959692955017,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
25,13.93862599,0.0,1736884617.5036008,,1.3922183513641357,0.875,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
26,13.947637867,0.0,1736884617.512681,,1.3810702562332153,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
27,13.956443843,0.0,1736884617.5214825,,1.3898869752883911,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
28,13.965312474,0.0,1736884617.530351,,1.3785618543624878,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
29,13.980062868,0.0,1736884617.5450563,,1.3954018354415894,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
30,13.997890657,0.0,1736884617.5629203,,1.3805217742919922,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
31,14.007709413,0.0,1736884617.5727262,,1.3862041234970093,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
32,14.016709177,0.0,1736884617.5817451,,1.3819552659988403,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
33,14.026627681,0.0,1736884617.591636,,1.4350212812423706,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
34,14.035513157,0.0,1736884617.600542,,1.3779555559158325,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
35,14.044407779,0.0,1736884617.6094546,,1.4363795518875122,0.6875,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
36,14.053401897,0.0,1736884617.6184392,,1.380124568939209,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
37,14.062245296,0.0,1736884617.6272871,,1.375810980796814,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
38,14.071205579,0.0,1736884617.6362486,,1.4318394660949707,0.875,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
39,14.079973666,0.0,1736884617.645016,,1.37956702709198,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
40,14.088905894,0.0,1736884617.6539435,,1.3896596431732178,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
41,14.09772124,0.0,1736884617.6627758,,1.3813741207122803,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
42,14.106548322,0.0,1736884617.6715794,,1.378490924835205,1.0,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
43,14.115496092,0.0,1736884617.68053,,1.4319875240325928,0.8125,0.001,1,16,22x22,MatchingNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
