_step,_runtime,bootstrap_iter,_timestamp,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,4.502985721,0.0,1736877773.5199444,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
1,315.456644543,0.0,1736878084.4277866,0.6150499992370605,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
2,315.456695711,0.0,1736878084.441047,,0.007328876759856939,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
3,315.456708794,0.0,1736878084.4580467,,0.0015547104412689805,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
4,315.457923338,0.0,1736878084.4748518,,0.0003608175029512495,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
5,315.473532502,0.0,1736878084.4904594,,0.00016556281480006874,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
6,315.489270508,0.0,1736878084.5061646,,2.7049271011492237e-05,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
7,315.505529717,0.0,1736878084.5224388,,2.66404495050665e-05,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
8,315.52120227,0.0,1736878084.538123,,1.4793469745200127e-05,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
9,315.536842138,0.0,1736878084.5537558,,8.888432603271212e-06,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
10,315.553463377,0.0,1736878084.57034,,4.194649591227062e-06,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
11,315.569244196,0.0,1736878084.5861528,,2.337979822186753e-06,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
12,315.584631262,0.0,1736878084.6015565,,1.2658014384214766e-05,1.0,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,TKH,False,1,4000,2,exp5_hyperparameters
