_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name
0,10.23522461,0.0,1736967877.6898181,,,,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
1,10.297982865,0.0,1736967877.7525,0.0,,,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
2,10.62405293,0.0,1736967878.0786238,,0.8988803625106812,0.7875000238418579,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
3,10.666884956,0.0,1736967878.0787184,,,,0.001,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
4,10.956423423,0.0,1736967878.4109786,,0.7560306787490845,0.737500011920929,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
5,10.956475605,0.0,1736967878.4110794,,,,0.0009999990000010002,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
6,11.2911763,0.0,1736967878.7457445,,1.1767610311508179,0.7124999761581421,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
7,11.291204237,0.0,1736967878.7458413,,,,0.0009999970000070001,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
8,11.621691987,0.0,1736967879.076272,,0.8257333636283875,0.8125,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
9,11.621734839,0.0,1736967879.0763607,,,,0.0009999940000250001,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
10,11.951869954,0.0,1736967879.406418,,0.5815492868423462,0.862500011920929,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
11,11.951897256,0.0,1736967879.4065115,,,,0.000999990000065,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
12,12.286201901,0.0,1736967879.7407408,,0.49597877264022827,0.800000011920929,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
13,12.286227098,0.0,1736967879.7408419,,,,0.0009999850001399992,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
14,12.620822956,0.0,1736967880.0753682,,0.46129903197288513,0.875,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
15,12.620852089,0.0,1736967880.075464,,,,0.0009999790002659977,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
16,12.953370887,0.0,1736967880.4079082,,0.6013404130935669,0.8374999761581421,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
17,12.953400261,0.0,1736967880.4080133,,,,0.0009999720004619944,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
18,13.286552519,0.0,1736967880.7410932,,0.4694153666496277,0.862500011920929,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
19,13.28658146,0.0,1736967880.7411904,,,,0.0009999640007499883,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
20,13.616911323,0.0,1736967881.071461,,0.38210421800613403,0.8500000238418579,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
21,13.616941237,0.0,1736967881.0715485,,,,0.0009999550011549779,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
22,13.943633513,0.0,1736967881.3981922,,0.5965176820755005,0.824999988079071,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
23,13.943708256,0.0,1736967881.398285,,,,0.0009999450017049607,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
24,14.266416326,0.0,1736967881.7209787,,0.37973952293395996,0.887499988079071,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
25,14.266474154,0.0,1736967881.7210753,,,,0.000999934002430934,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
26,14.609140098,0.0,1736967882.0637102,,0.5216807723045349,0.7875000238418579,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
27,14.609159908,0.0,1736967882.0638025,,,,0.0009999220033668937,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
28,14.949029429,0.0,1736967882.4036007,,0.4049918055534363,0.8999999761581421,,,,,,0.001,1,16,22x22,PrototypicalNetwork,5,5,Greek,b-59-850,False,5,4000,2,exp5_hyperparameters
