_step,_runtime,bootstrap_iter,_timestamp,epoch,tr_loss,tr_acc,tr lr,tr_eval_acc,ft_eval_acc,ft_loss,ft_acc,lr,epochs,batch_size,input_size,model_type,n_way_test,n_way_train,tgt_dataset,src_datasets,fixed_support,samples_per_class,num_total_episodes,num_bootstrap_iters,exp_name,ft_eval_num,tr_eval_acc_src_data
,1420.008947999,0.0,1736884851.3582482,,,,,,0.7125500001907349,,0.8999999761581421,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,0.0,
,2751.700219651,0.0,1736886183.0070372,,,,,,0.8967000005245209,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,1.0,
,4064.844242246,0.0,1736887496.1521227,,,,,,0.8986000001430512,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,2.0,
,5378.02144037,0.0,1736888809.3708026,,,,,,0.8931999998092651,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,3.0,
,6702.084315956,1.0,1736890133.387813,,,,,,0.7758500003814697,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,0.0,
,8030.116301969,1.0,1736891461.4655108,,,,,,0.8811999998092651,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,1.0,
,9374.14825029,1.0,1736892805.4520938,,,,,,0.8793000011444092,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,2.0,
,10761.980430834,1.0,1736894193.2863262,,,,,,0.8811500008106232,,1.0,0.001,1,16,40x40,PrototypicalNetwork,5,5,Greek,NO_SRC_DATASET,False,5,4000,2,exp4_same_dataset,3.0,
,1221.239227985,0.0,1737021292.6192718,,,,,,0.4595833325982094,,0.7291666865348816,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset,0.0,
,2348.330142499,0.0,1737022419.752402,,,,,,0.4709166662693023,,1.0,0.001,1,16,40x40,PrototypicalNetwork,3,5,BreaKHis_formatted,NO_SRC_DATASET,False,10,4000,2,exp4_same_dataset,1.0,
